# Camera-motion labels for the Drone-vs-Bird training set, 77 videos.
# Provenance: single-rater manual review of all 77 videos by the
# author, 10 August 2026. This is a JUDGEMENT label, not a measured
# one, and the Chapter 4 method section must describe it that way.
# The static subset of Chapter 4 is defined as camera == static.
video,camera
00_01_52_to_00_01_58,static
00_02_45_to_00_03_10_cut,static
00_06_10_to_00_06_27,static
00_09_30_to_00_10_09,static
00_10_09_to_00_10_40,static
2019_08_19_C0001_5319_phantom,static
2019_08_19_GOPR5869_1530_phantom,static
2019_08_19_GP015869_1520_inspire,static
2019_09_02_C0002_2527_inspire,static
2019_09_02_C0002_3700_mavic,static
2019_09_02_GOPR5871_1058_solo,static
2019_10_16_C0003_1700_matrice,static
2019_11_14_C0001_3922_matrice,static
GOPR5842_002,static
GOPR5842_005,static
GOPR5842_007,static
GOPR5843_002,static
GOPR5843_005,static
GOPR5844_002,static
GOPR5844_004,static
GOPR5845_001,static
GOPR5845_004,static
GOPR5846_002,static
GOPR5846_005,static
GOPR5847_003,static
GOPR5847_004,static
GOPR5848_002,static
GOPR5848_004,static
gopro_000,static
gopro_001,static
gopro_002,static
gopro_003,static
gopro_004,static
gopro_005,static
gopro_006,static
gopro_007,static
gopro_008,static
2019_10_16_C0003_3633_inspire,dynamic
2019_10_16_C0003_4613_mavic,dynamic
2019_10_16_C0003_5043_mavic,dynamic
custom_fixed_wing_1,dynamic
custom_fixed_wing_2,dynamic
distant_parrot_2,dynamic
distant_parrot_with_birds,dynamic
dji_matrice_210_hillside,dynamic
dji_matrice_210_mountain,dynamic
dji_matrice_210_off_focus,dynamic
dji_matrice_210_sky,dynamic
dji_mavick_close_buildings,dynamic
dji_mavick_distant_hillside,dynamic
dji_mavick_hillside_off_focus,dynamic
dji_mavick_mountain,dynamic
dji_mavick_mountain_cruise,dynamic
dji_pantom_landing_custom_fixed_takeoff,dynamic
dji_phantom_4_hillside_cross,dynamic
dji_phantom_4_long_takeoff,dynamic
dji_phantom_4_mountain_hover,dynamic
dji_phantom_4_swarm_noon,dynamic
dji_phantom_mountain_cross,dynamic
fixed_wing_over_hill_1,dynamic
fixed_wing_over_hill_2,dynamic
matrice_600_2,dynamic
matrice_600_3,dynamic
off_focus_parrot_birds,dynamic
parot_disco_takeoff,dynamic
parrot_clear_birds,dynamic
parrot_clear_birds_med_range,dynamic
parrot_disco_distant_cross,dynamic
parrot_disco_distant_cross_3,dynamic
parrot_disco_long_session,dynamic
parrot_disco_midrange_cross,dynamic
parrot_disco_zoomin_zoomout,dynamic
swarm_dji_phantom,dynamic
swarm_dji_phantom4_2,dynamic
two_distant_phantom,dynamic
two_parrot_disco_1,dynamic
two_uavs_plus_airplane,dynamic
