video,split,scene,resolution,frame,x,y,w,h,blob_area,area_frac,coverage,label,gt_index
00_01_52_to_00_01_58,train,seaside,1920x1080,85,1863,941,38,9,82,3.9545e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,95,1299,964,90,8,207,9.9826e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,109,1244,966,50,4,99,4.7743e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,111,1027,970,123,6,289,0.000139371,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,112,1073,963,479,12,1573,0.000758584,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,122,1192,971,38,4,71,3.424e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,124,1425,964,30,3,62,2.99e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,135,1301,962,179,7,314,0.000151427,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,140,1338,964,97,4,166,8.0054e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,140,1225,964,322,13,653,0.000314911,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,150,898,971,69,6,173,8.343e-05,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,47,92,970,18,5,35,1.6879e-05,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,83,1526,1060,11,4,24,1.1574e-05,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,96,1041,969,12,4,25,1.2056e-05,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,163,218,1020,11,3,17,8.198e-06,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,192,1371,1025,17,5,33,1.5914e-05,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,199,1248,997,15,5,48,2.3148e-05,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,216,1693,1057,14,4,18,8.681e-06,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,250,1166,987,18,4,34,1.6397e-05,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,289,425,480,12,8,58,2.7971e-05,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,299,1226,1053,17,3,31,1.495e-05,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,315,648,500,18,18,183,8.8252e-05,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,333,1561,376,14,14,99,4.7743e-05,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,340,436,1002,12,2,15,7.234e-06,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,344,1686,946,7,4,20,9.645e-06,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,345,920,520,11,7,42,2.0255e-05,0.0,negative,-1
00_06_10_to_00_06_27,train,seaside,1920x1080,69,619,972,51,6,116,5.5941e-05,0.0,negative,-1
00_06_10_to_00_06_27,train,seaside,1920x1080,74,773,973,51,4,110,5.3048e-05,0.0,negative,-1
00_06_10_to_00_06_27,train,seaside,1920x1080,90,1806,945,28,6,51,2.4595e-05,0.0,negative,-1
00_06_10_to_00_06_27,train,seaside,1920x1080,104,1729,950,43,7,77,3.7133e-05,0.0,negative,-1
00_06_10_to_00_06_27,train,seaside,1920x1080,122,1832,946,30,6,57,2.7488e-05,0.0,negative,-1
00_06_10_to_00_06_27,train,seaside,1920x1080,122,712,975,22,4,48,2.3148e-05,0.0,negative,-1
00_06_10_to_00_06_27,train,seaside,1920x1080,153,1853,946,54,4,106,5.1119e-05,0.0,negative,-1
00_06_10_to_00_06_27,train,seaside,1920x1080,156,1860,946,47,4,86,4.1474e-05,0.0,negative,-1
00_06_10_to_00_06_27,train,seaside,1920x1080,196,451,975,21,5,51,2.4595e-05,0.0,negative,-1
00_06_10_to_00_06_27,train,seaside,1920x1080,232,1512,956,89,6,138,6.6551e-05,0.0,negative,-1
00_06_10_to_00_06_27,train,seaside,1920x1080,263,1530,954,115,7,204,9.838e-05,0.0,negative,-1
00_06_10_to_00_06_27,train,seaside,1920x1080,280,1579,954,88,6,169,8.1501e-05,0.0,negative,-1
00_06_10_to_00_06_27,train,seaside,1920x1080,288,1789,945,20,2,28,1.3503e-05,0.0,negative,-1
00_06_10_to_00_06_27,train,seaside,1920x1080,302,392,979,19,3,40,1.929e-05,0.0,negative,-1
00_06_10_to_00_06_27,train,seaside,1920x1080,315,1770,943,58,5,102,4.919e-05,0.0,negative,-1
00_06_10_to_00_06_27,train,seaside,1920x1080,315,1699,952,18,4,34,1.6397e-05,0.0,negative,-1
00_06_10_to_00_06_27,train,seaside,1920x1080,323,1710,952,35,3,53,2.5559e-05,0.0,negative,-1
00_06_10_to_00_06_27,train,seaside,1920x1080,327,1724,952,20,3,37,1.7843e-05,0.0,negative,-1
00_06_10_to_00_06_27,train,seaside,1920x1080,345,1500,953,118,6,209,0.000100791,0.0,negative,-1
00_06_10_to_00_06_27,train,seaside,1920x1080,346,1506,953,110,8,207,9.9826e-05,0.0,negative,-1
00_06_10_to_00_06_27,train,seaside,1920x1080,364,1862,949,39,3,76,3.6651e-05,0.0,negative,-1
00_06_10_to_00_06_27,train,seaside,1920x1080,364,282,980,85,4,161,7.7643e-05,0.0,negative,-1
00_06_10_to_00_06_27,train,seaside,1920x1080,365,1817,942,60,4,107,5.1601e-05,0.0,negative,-1
00_06_10_to_00_06_27,train,seaside,1920x1080,373,1820,948,28,3,34,1.6397e-05,0.0,negative,-1
00_06_10_to_00_06_27,train,seaside,1920x1080,375,1824,942,56,4,104,5.0154e-05,0.0,negative,-1
00_06_10_to_00_06_27,train,seaside,1920x1080,390,255,981,29,3,63,3.0382e-05,0.0,negative,-1
