video,session,scene,split,boxes
00_01_52_to_00_01_58,seaside_cuts,seaside,train,122
00_02_45_to_00_03_10_cut,seaside_cuts,seaside,train,399
00_06_10_to_00_06_27,seaside_cuts,seaside,train,227
00_09_30_to_00_10_09,seaside_cuts,seaside,train,1085
00_10_09_to_00_10_40,seaside_cuts,seaside,train,894
2019_08_19_C0001_5319_phantom,ind_2019_08_19,industrial,heldout,2820
2019_08_19_GOPR5869_1530_phantom,ind_2019_08_19,industrial,heldout,964
2019_08_19_GP015869_1520_inspire,ind_2019_08_19,industrial,heldout,876
2019_09_02_C0002_2527_inspire,ind_2019_09_02,industrial,train,486
2019_09_02_C0002_3700_mavic,ind_2019_09_02,industrial,train,845
2019_09_02_GOPR5871_1058_solo,ind_2019_09_02,industrial,train,726
2019_10_16_C0003_1700_matrice,ind_2019_10_16,industrial,train,1298
2019_10_16_C0003_3633_inspire,ind_2019_10_16,industrial,train,1421
2019_10_16_C0003_4613_mavic,ind_2019_10_16,industrial,train,426
2019_10_16_C0003_5043_mavic,ind_2019_10_16,industrial,train,426
2019_11_14_C0001_3922_matrice,ind_2019_11_14,industrial,train,2524
GOPR5842_002,meadow_5842,meadow,heldout,598
GOPR5842_005,meadow_5842,meadow,heldout,492
GOPR5842_007,meadow_5842,meadow,heldout,481
GOPR5843_002,meadow_5843,meadow,train,393
GOPR5843_005,meadow_5843,meadow,train,524
GOPR5844_002,meadow_5844,meadow,train,446
GOPR5844_004,meadow_5844,meadow,train,404
GOPR5845_001,meadow_5845,meadow,train,540
GOPR5845_004,meadow_5845,meadow,train,352
GOPR5846_002,meadow_5846,meadow,train,629
GOPR5846_005,meadow_5846,meadow,train,379
GOPR5847_003,lake_5847,lake,train,456
GOPR5847_004,lake_5847,lake,train,698
GOPR5848_002,meadow_5848,meadow,train,501
GOPR5848_004,meadow_5848,meadow,train,644
custom_fixed_wing_1,air_fixedwing,airfield,heldout,1431
custom_fixed_wing_2,air_fixedwing,airfield,heldout,1609
distant_parrot_2,air_parrotbirds,airfield,train,838
distant_parrot_with_birds,air_parrotbirds,airfield,train,648
dji_matrice_210_hillside,hill_matrice210,hillside,heldout,1501
dji_matrice_210_mountain,hill_matrice210,hillside,heldout,1420
dji_matrice_210_off_focus,hill_matrice210,hillside,heldout,1216
dji_matrice_210_sky,hill_matrice210,hillside,heldout,1318
dji_mavick_close_buildings,hill_mavick,hillside,train,1501
dji_mavick_distant_hillside,hill_mavick,hillside,train,1501
dji_mavick_hillside_off_focus,hill_mavick,hillside,train,1428
dji_mavick_mountain,hill_mavick,hillside,train,1435
dji_mavick_mountain_cruise,hill_mavick,hillside,train,1375
dji_pantom_landing_custom_fixed_takeoff,hill_phantom,hillside,train,2892
dji_phantom_4_hillside_cross,hill_phantom,hillside,train,2274
dji_phantom_4_long_takeoff,hill_phantom,hillside,train,397
dji_phantom_4_mountain_hover,hill_phantom,hillside,train,1499
dji_phantom_4_swarm_noon,hill_phantom,hillside,train,7795
dji_phantom_mountain_cross,hill_phantom,hillside,train,3648
fixed_wing_over_hill_1,air_fixedwing,airfield,heldout,203
fixed_wing_over_hill_2,air_fixedwing,airfield,heldout,294
gopro_000,gopro_treesite,gopro_fisheye,train,960
gopro_001,gopro_treesite,gopro_fisheye,train,955
gopro_002,gopro_treesite,gopro_fisheye,train,636
gopro_003,gopro_treesite,gopro_fisheye,train,554
gopro_004,gopro_004,gopro_fisheye,heldout,674
gopro_005,gopro_005,gopro_fisheye,train,810
gopro_006,gopro_path,gopro_fisheye,train,926
gopro_007,gopro_path,gopro_fisheye,train,3480
gopro_008,gopro_path,gopro_fisheye,train,990
matrice_600_2,air_matrice600,airfield,train,3001
matrice_600_3,air_matrice600,airfield,train,2955
off_focus_parrot_birds,air_parrotbirds,airfield,train,598
parot_disco_takeoff,air_disco,airfield,train,839
parrot_clear_birds,air_parrotbirds,airfield,train,760
parrot_clear_birds_med_range,air_parrotbirds,airfield,train,819
parrot_disco_distant_cross,air_disco,airfield,train,2843
parrot_disco_distant_cross_3,air_disco,airfield,train,2390
parrot_disco_long_session,air_disco,airfield,train,3756
parrot_disco_midrange_cross,air_disco,airfield,train,2869
parrot_disco_zoomin_zoomout,air_disco,airfield,train,665
swarm_dji_phantom,air_multi,airfield,train,14722
swarm_dji_phantom4_2,air_multi,airfield,train,4607
two_distant_phantom,air_multi,airfield,train,3157
two_parrot_disco_1,air_disco,airfield,train,3594
two_uavs_plus_airplane,air_multi,airfield,train,2400
