video,session,scene,split,boxes,annotated_frames
2019_08_19_C0001_5319_phantom,ind_2019_08_19,industrial,test,2820,2820
2019_08_19_GOPR5869_1530_phantom,ind_2019_08_19,industrial,test,964,964
2019_08_19_GP015869_1520_inspire,ind_2019_08_19,industrial,test,876,876
GOPR5842_002,meadow_5842,meadow,test,598,598
GOPR5842_005,meadow_5842,meadow,test,492,492
GOPR5842_007,meadow_5842,meadow,test,481,480
gopro_004,gopro_004,gopro_fisheye,test,674,674
00_01_52_to_00_01_58,seaside_cuts,seaside,train,122,122
00_02_45_to_00_03_10_cut,seaside_cuts,seaside,train,399,399
00_06_10_to_00_06_27,seaside_cuts,seaside,train,227,227
00_09_30_to_00_10_09,seaside_cuts,seaside,train,1085,1085
00_10_09_to_00_10_40,seaside_cuts,seaside,train,894,894
2019_09_02_C0002_2527_inspire,ind_2019_09_02,industrial,train,486,486
2019_09_02_C0002_3700_mavic,ind_2019_09_02,industrial,train,845,845
2019_09_02_GOPR5871_1058_solo,ind_2019_09_02,industrial,train,726,725
2019_10_16_C0003_1700_matrice,ind_2019_10_16,industrial,train,1298,1298
GOPR5844_002,meadow_5844,meadow,train,446,446
GOPR5844_004,meadow_5844,meadow,train,404,404
GOPR5845_001,meadow_5845,meadow,train,540,540
GOPR5845_004,meadow_5845,meadow,train,352,352
GOPR5847_003,lake_5847,lake,train,456,456
GOPR5847_004,lake_5847,lake,train,698,698
GOPR5848_002,meadow_5848,meadow,train,501,501
GOPR5848_004,meadow_5848,meadow,train,644,644
gopro_000,gopro_treesite,gopro_fisheye,train,960,480
gopro_001,gopro_treesite,gopro_fisheye,train,955,480
gopro_002,gopro_treesite,gopro_fisheye,train,636,318
gopro_003,gopro_treesite,gopro_fisheye,train,554,554
gopro_006,gopro_path,gopro_fisheye,train,926,926
gopro_007,gopro_path,gopro_fisheye,train,3480,3480
gopro_008,gopro_path,gopro_fisheye,train,990,990
2019_11_14_C0001_3922_matrice,ind_2019_11_14,industrial,val,2524,2524
GOPR5843_002,meadow_5843,meadow,val,393,393
GOPR5843_005,meadow_5843,meadow,val,524,524
GOPR5846_002,meadow_5846,meadow,val,629,629
GOPR5846_005,meadow_5846,meadow,val,379,379
gopro_005,gopro_005,gopro_fisheye,val,810,810
