kind,video,track_id,scene,resolution,fps,centre_frame,T,stride,padding_fraction,frame_indices,cx,cy,w,h,equiv_side,seed,strip_id
background,gopro_006,,gopro_fisheye,1920x1080,29.970933447224024,26,8,1,0.3,23;24;25;26;27;28;29;30,114.27,507.61,18.0,13.0,15.297,0,F0000
background,2019_10_16_C0003_1700_matrice,,industrial,3840x2160,25.0,1386,8,1,0.3,1383;1384;1385;1386;1387;1388;1389;1390,1739.88,376.88,50.0,34.0,41.231,0,F0001
background,2019_11_14_C0001_3922_matrice,,industrial,3840x2160,25.0,1385,8,1,0.3,1382;1383;1384;1385;1386;1387;1388;1389,3505.92,1333.65,51.0,44.0,47.371,0,F0002
drone,2019_09_02_GOPR5871_1058_solo,1,industrial,1920x1080,25.0,597,8,1,0.3,594;595;596;597;598;599;600;601,1125.5,335.0,11.0,10.0,10.4881,0,F0003
background,2019_11_14_C0001_3922_matrice,,industrial,3840x2160,25.0,1357,8,1,0.3,1354;1355;1356;1357;1358;1359;1360;1361,2449.13,1277.31,50.0,36.0,42.426,0,F0004
background,2019_09_02_C0002_3700_mavic,,industrial,3840x2160,25.0,15,8,1,0.3,12;13;14;15;16;17;18;19,3779.76,626.27,51.0,32.0,40.398,0,F0005
background,00_06_10_to_00_06_27,,seaside,1920x1080,29.97002997002997,49,8,1,0.3,46;47;48;49;50;51;52;53,1869.17,260.07,51.0,33.0,41.024,0,F0006
background,GOPR5846_005,,meadow,1920x1080,29.97000099996667,428,8,1,0.3,425;426;427;428;429;430;431;432,955.42,139.05,52.0,29.0,38.833,0,F0007
drone,GOPR5844_004,0,meadow,1920x1080,29.96985007769486,3,8,1,0.3,0;1;2;3;4;5;6;7,1283.5,894.5,13.0,11.0,11.9583,0,F0008
drone,gopro_001,2,gopro_fisheye,1920x1080,25.0,444,8,1,0.3,441;442;443;444;445;446;447;448,283.5,913.5,9.0,7.0,7.9373,0,F0009
drone,00_09_30_to_00_10_09,0,seaside,1920x1080,29.97002997002997,430,8,1,0.3,427;428;429;430;431;432;433;434,1052.5,759.5,91.0,41.0,61.0819,0,F0010
background,GOPR5847_004,,lake,1920x1080,29.970501184446306,9,8,1,0.3,6;7;8;9;10;11;12;13,687.3,738.4,41.0,35.0,37.881,0,F0011
drone,00_06_10_to_00_06_27,4,seaside,1920x1080,29.97002997002997,471,8,1,0.3,468;469;470;471;472;473;474;475,1092.5,282.5,61.0,35.0,46.2061,0,F0012
drone,GOPR5847_003,0,lake,1920x1080,29.96979154066368,381,8,1,0.3,378;379;380;381;382;383;384;385,962.0,765.5,18.0,13.0,15.2971,0,F0013
drone,2019_09_02_C0002_3700_mavic,0,industrial,3840x2160,25.0,816,8,1,0.3,813;814;815;816;817;818;819;820,2254.5,340.0,51.0,32.0,40.398,0,F0014
drone,2019_11_14_C0001_3922_matrice,1,industrial,3840x2160,25.0,1688,8,1,0.3,1685;1686;1687;1688;1689;1690;1691;1692,2253.0,1187.5,38.0,29.0,33.1964,0,F0015
drone,GOPR5846_005,0,meadow,1920x1080,29.97000099996667,88,8,1,0.3,85;86;87;88;89;90;91;92,605.0,865.5,22.0,15.0,18.1659,0,F0016
drone,gopro_001,0,gopro_fisheye,1920x1080,25.0,126,8,1,0.3,123;124;125;126;127;128;129;130,979.5,995.5,21.0,15.0,17.7482,0,F0017
background,gopro_006,,gopro_fisheye,1920x1080,29.970933447224024,335,8,1,0.3,332;333;334;335;336;337;338;339,145.79,1012.24,47.0,27.0,35.623,0,F0018
drone,00_02_45_to_00_03_10_cut,0,seaside,1920x1080,50.0,166,8,1,0.3,163;164;165;166;167;168;169;170,588.5,746.0,27.0,16.0,20.7846,0,F0019
background,00_06_10_to_00_06_27,,seaside,1920x1080,29.97002997002997,183,8,1,0.3,180;181;182;183;184;185;186;187,1295.01,149.91,14.0,10.0,11.832,0,F0020
drone,GOPR5848_002,0,meadow,1920x1080,29.970648094151535,173,8,1,0.3,170;171;172;173;174;175;176;177,411.0,971.5,12.0,11.0,11.4891,0,F0021
background,2019_10_16_C0003_1700_matrice,,industrial,3840x2160,25.0,1376,8,1,0.3,1373;1374;1375;1376;1377;1378;1379;1380,258.6,541.9,50.0,34.0,41.231,0,F0022
drone,GOPR5847_004,0,lake,1920x1080,29.970501184446306,231,8,1,0.3,228;229;230;231;232;233;234;235,1484.0,573.0,68.0,52.0,59.4643,0,F0023
background,00_09_30_to_00_10_09,,seaside,1920x1080,29.97002997002997,820,8,1,0.3,817;818;819;820;821;822;823;824,607.73,989.83,9.0,8.0,8.485,0,F0024
background,GOPR5843_005,,meadow,1920x1080,29.970632584188987,562,8,1,0.3,559;560;561;562;563;564;565;566,812.47,293.44,15.0,12.0,13.416,0,F0025
background,00_01_52_to_00_01_58,,seaside,1920x1080,29.97002997002997,166,8,1,0.3,163;164;165;166;167;168;169;170,1163.08,66.72,34.0,21.0,26.721,0,F0026
drone,gopro_006,0,gopro_fisheye,1920x1080,29.970933447224024,799,8,1,0.3,796;797;798;799;800;801;802;803,995.0,350.5,8.0,7.0,7.4833,0,F0027
background,GOPR5847_003,,lake,1920x1080,29.96979154066368,487,8,1,0.3,484;485;486;487;488;489;490;491,89.96,889.68,14.0,10.0,11.832,0,F0028
drone,GOPR5847_003,0,lake,1920x1080,29.96979154066368,38,8,1,0.3,35;36;37;38;39;40;41;42,1760.5,591.5,25.0,23.0,23.9792,0,F0029
