video,frame,cost_ratio,n_boxes
gopro_000,1,563.975779,2
gopro_000,2,291.966422,2
gopro_000,3,405.883461,2
gopro_000,4,434.686662,2
gopro_000,5,403.255239,2
gopro_000,6,288.309255,2
gopro_000,7,554.271968,2
gopro_000,8,447.109477,2
gopro_000,9,630.462147,2
gopro_000,10,274.656871,2
gopro_000,11,519.067273,2
gopro_000,12,394.800455,2
gopro_000,13,364.50817,2
gopro_000,14,486.749536,2
gopro_000,15,390.776153,2
gopro_000,16,509.93138,2
gopro_000,17,268.169301,2
gopro_000,18,611.657602,2
gopro_000,19,385.235811,2
gopro_000,20,383.266266,2
gopro_000,21,341.121558,2
gopro_000,22,379.50551,2
gopro_000,23,240.885883,2
gopro_000,24,438.195876,2
gopro_000,25,373.691895,2
gopro_000,26,332.5623,2
gopro_000,27,369.940852,2
gopro_000,28,367.975318,2
gopro_000,29,409.515407,2
gopro_000,30,452.436911,2
gopro_000,31,260.825588,2
gopro_000,32,362.463015,2
gopro_000,33,268.672915,2
gopro_000,34,389.254761,2
gopro_000,35,357.329037,2
gopro_000,36,255.373836,2
gopro_000,37,440.383844,2
gopro_000,38,395.276661,2
gopro_000,39,393.715179,2
gopro_000,40,256.539659,2
gopro_000,41,392.47216,2
gopro_000,42,391.695542,2
gopro_000,43,211.209641,2
gopro_000,44,253.75401,2
gopro_000,45,258.340138,2
gopro_000,46,773.476183,2
gopro_000,47,374.226738,2
gopro_000,48,256.502049,2
gopro_000,49,542.58318,2
gopro_000,50,214.855048,2
gopro_000,51,539.594763,2
gopro_000,52,339.666975,2
gopro_000,53,676.416036,2
gopro_000,54,302.221332,2
gopro_000,55,337.09176,2
gopro_000,56,530.455,2
gopro_000,57,210.039144,2
gopro_000,58,527.46612,2
gopro_000,59,332.05144,2
gopro_000,60,349.164044,2
gopro_000,61,263.200948,2
gopro_000,62,328.566837,2
gopro_000,63,288.371874,2
gopro_000,64,237.691747,2
gopro_000,65,224.458913,2
gopro_000,66,401.269736,2
gopro_000,67,339.960624,2
gopro_000,68,221.620369,2
gopro_000,69,358.059014,2
gopro_000,70,254.737799,2
gopro_000,71,336.228294,2
gopro_000,72,221.050374,2
gopro_000,73,437.694898,2
gopro_000,74,235.466912,2
gopro_000,75,218.997253,2
gopro_000,76,332.164214,2
gopro_000,77,250.381434,2
