video,split,scene,resolution,variant,frames_processed,bin_lo,bin_hi,count
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,1.0,1.0625,146168
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,1.9477,2.0694,30974
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,2.9768,3.1628,7416
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,3.7934,4.0304,3332
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,4.8341,5.1361,1622
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,5.7979,6.1601,1051
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,6.9539,7.3884,730
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,7.85,8.3404,536
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,8.8615,9.4152,425
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,9.4152,10.0034,350
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,10.6284,11.2924,278
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,11.998,12.7476,214
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,12.7476,13.544,197
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,13.544,14.3902,136
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,14.3902,15.2892,140
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,15.2892,16.2445,132
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,16.2445,17.2594,97
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,17.2594,18.3377,77
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,18.3377,19.4834,76
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,19.4834,20.7007,54
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,20.7007,21.994,75
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,21.994,23.3681,116
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,23.3681,24.8281,49
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,24.8281,26.3793,88
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,26.3793,28.0274,45
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,28.0274,29.7785,30
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,29.7785,31.639,42
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,31.639,33.6157,48
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,33.6157,35.7159,35
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,35.7159,37.9473,35
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,37.9473,40.3182,47
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,40.3182,42.8372,31
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,42.8372,45.5135,32
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,45.5135,48.3571,34
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,48.3571,51.3783,21
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,51.3783,54.5883,24
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,54.5883,57.9988,17
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,57.9988,61.6224,21
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,61.6224,65.4724,18
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,65.4724,69.563,26
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,69.563,73.9091,18
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,73.9091,78.5267,19
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,78.5267,83.4329,15
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,83.4329,88.6455,18
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,88.6455,94.1839,18
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,94.1839,100.0682,13
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,100.0682,106.3202,18
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,106.3202,112.9628,6
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,112.9628,120.0205,7
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,120.0205,127.519,6
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,127.519,135.4861,5
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,135.4861,143.9509,6
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,143.9509,152.9446,5
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,152.9446,162.5001,4
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,162.5001,172.6527,2
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,172.6527,183.4396,4
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,183.4396,194.9004,3
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,194.9004,207.0773,4
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,207.0773,220.0149,1
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,220.0149,233.7609,3
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,233.7609,248.3657,2
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,248.3657,263.8829,2
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,263.8829,280.3696,1
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,280.3696,297.8864,2
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,297.8864,316.4975,2
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,316.4975,336.2714,2
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,379.6028,403.3193,1
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,428.5177,455.2903,1
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,455.2903,483.7357,1
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,483.7357,513.9582,2
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,513.9582,546.069,2
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,616.4344,654.9476,2
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,654.9476,695.867,1
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,695.867,739.3429,1
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,739.3429,785.5351,1
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,834.6133,886.7577,1
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,942.16,1001.0237,1
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,1130.0138,1200.6141,1
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,1275.6253,1355.323,4
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,1355.323,1440.0,2
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,1440.0,1529.9674,15
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,1529.9674,1625.5557,47
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,1625.5557,1727.1162,26
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,1727.1162,1835.0219,21
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,1835.0219,1949.6692,6
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,1951665.1031,2073600.0,1
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,5.7979,6.1601,3
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,7.85,8.3404,1
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,8.8615,9.4152,235
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,11.998,12.7476,139
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,13.544,14.3902,1
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,14.3902,15.2892,62
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,15.2892,16.2445,10
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,16.2445,17.2594,3
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,17.2594,18.3377,36
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,18.3377,19.4834,4
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,19.4834,20.7007,4
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,20.7007,21.994,30
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,21.994,23.3681,2
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,23.3681,24.8281,21
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,24.8281,26.3793,3
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,26.3793,28.0274,11
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,28.0274,29.7785,1
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,29.7785,31.639,15
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,31.639,33.6157,4
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,33.6157,35.7159,6
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,35.7159,37.9473,6
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,37.9473,40.3182,3
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,40.3182,42.8372,6
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,42.8372,45.5135,5
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,45.5135,48.3571,1
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,48.3571,51.3783,3
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,51.3783,54.5883,3
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,57.9988,61.6224,3
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,61.6224,65.4724,2
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,65.4724,69.563,1
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,73.9091,78.5267,2
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,78.5267,83.4329,1
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,106.3202,112.9628,1
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,112.9628,120.0205,2
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,127.519,135.4861,1
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,379.6028,403.3193,1
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,428.5177,455.2903,1
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,785.5351,834.6133,1
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,942.16,1001.0237,1
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,1063.565,1130.0138,1
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,1130.0138,1200.6141,2
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,1200.6141,1275.6253,2
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,1275.6253,1355.323,2
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,1355.323,1440.0,36
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,1440.0,1529.9674,27
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,1529.9674,1625.5557,21
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,1625.5557,1727.1162,19
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,1727.1162,1835.0219,10
00_01_52_to_00_01_58,train,seaside,1920x1080,open3,175,1951665.1031,2073600.0,1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,1.0,1.0625,445736
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,1.9477,2.0694,174865
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,2.9768,3.1628,89844
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,3.7934,4.0304,53835
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,4.8341,5.1361,35163
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,5.7979,6.1601,23851
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,6.9539,7.3884,17620
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,7.85,8.3404,12698
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,8.8615,9.4152,9130
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,9.4152,10.0034,6647
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,10.6284,11.2924,5177
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,11.998,12.7476,3821
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,12.7476,13.544,3329
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,13.544,14.3902,2515
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,14.3902,15.2892,2111
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,15.2892,16.2445,1685
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,16.2445,17.2594,1321
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,17.2594,18.3377,1077
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,18.3377,19.4834,941
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,19.4834,20.7007,926
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,20.7007,21.994,708
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,21.994,23.3681,1186
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,23.3681,24.8281,520
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,24.8281,26.3793,680
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,26.3793,28.0274,496
