video,split,scene,resolution,variant,frames_processed,bin_lo,bin_hi,count
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,1.0,1.0625,28088
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,1.9477,2.0694,5842
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,2.9768,3.1628,2008
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,3.7934,4.0304,1111
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,4.8341,5.1361,781
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,5.7979,6.1601,433
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,6.9539,7.3884,355
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,7.85,8.3404,242
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,8.8615,9.4152,198
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,9.4152,10.0034,147
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,10.6284,11.2924,117
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,11.998,12.7476,98
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,12.7476,13.544,97
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,13.544,14.3902,56
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,14.3902,15.2892,62
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,15.2892,16.2445,53
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,16.2445,17.2594,54
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,17.2594,18.3377,49
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,18.3377,19.4834,43
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,19.4834,20.7007,37
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,20.7007,21.994,24
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,21.994,23.3681,39
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,23.3681,24.8281,19
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,24.8281,26.3793,37
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,26.3793,28.0274,20
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,28.0274,29.7785,12
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,29.7785,31.639,33
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,31.639,33.6157,23
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,33.6157,35.7159,26
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,35.7159,37.9473,22
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,37.9473,40.3182,21
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,40.3182,42.8372,18
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,42.8372,45.5135,25
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,45.5135,48.3571,20
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,48.3571,51.3783,12
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,51.3783,54.5883,14
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,54.5883,57.9988,10
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,57.9988,61.6224,16
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,61.6224,65.4724,11
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,65.4724,69.563,16
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,69.563,73.9091,12
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,73.9091,78.5267,6
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,78.5267,83.4329,14
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,83.4329,88.6455,8
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,88.6455,94.1839,13
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,94.1839,100.0682,14
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,100.0682,106.3202,21
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,106.3202,112.9628,16
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,112.9628,120.0205,16
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,120.0205,127.519,15
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,127.519,135.4861,11
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,135.4861,143.9509,16
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,143.9509,152.9446,11
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,152.9446,162.5001,13
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,162.5001,172.6527,19
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,172.6527,183.4396,11
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,183.4396,194.9004,12
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,194.9004,207.0773,12
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,207.0773,220.0149,6
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,220.0149,233.7609,6
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,233.7609,248.3657,3
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,248.3657,263.8829,2
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,263.8829,280.3696,3
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,280.3696,297.8864,2
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,297.8864,316.4975,4
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,316.4975,336.2714,1
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,357.2808,379.6028,3
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,546.069,580.1859,1
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,580.1859,616.4344,1
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,785.5351,834.6133,1
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,834.6133,886.7577,1
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,886.7577,942.16,4
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,1001.0237,1063.565,6
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,1063.565,1130.0138,18
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,1130.0138,1200.6141,32
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,1200.6141,1275.6253,8
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,1275.6253,1355.323,16
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,1355.323,1440.0,18
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,1440.0,1529.9674,16
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,1529.9674,1625.5557,1
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,1951665.1031,2073600.0,4
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,1.0,1.0625,92242
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,1.9477,2.0694,34910
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,2.9768,3.1628,18876
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,3.7934,4.0304,11158
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,4.8341,5.1361,7337
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,5.7979,6.1601,5096
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,6.9539,7.3884,3602
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,7.85,8.3404,2758
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,8.8615,9.4152,2216
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,9.4152,10.0034,1715
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,10.6284,11.2924,1244
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,11.998,12.7476,1074
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,12.7476,13.544,850
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,13.544,14.3902,681
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,14.3902,15.2892,615
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,15.2892,16.2445,518
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,16.2445,17.2594,459
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,17.2594,18.3377,373
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,18.3377,19.4834,292
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,19.4834,20.7007,260
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,20.7007,21.994,221
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,21.994,23.3681,324
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,23.3681,24.8281,131
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,24.8281,26.3793,201
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,26.3793,28.0274,173
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,28.0274,29.7785,96
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,29.7785,31.639,176
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,31.639,33.6157,126
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,33.6157,35.7159,106
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,35.7159,37.9473,83
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,37.9473,40.3182,120
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,40.3182,42.8372,80
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,42.8372,45.5135,82
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,45.5135,48.3571,66
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,48.3571,51.3783,53
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,51.3783,54.5883,48
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,54.5883,57.9988,42
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,57.9988,61.6224,44
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,61.6224,65.4724,47
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,65.4724,69.563,29
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,69.563,73.9091,43
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,73.9091,78.5267,39
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,78.5267,83.4329,21
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,83.4329,88.6455,25
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,88.6455,94.1839,16
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,94.1839,100.0682,9
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,100.0682,106.3202,6
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,106.3202,112.9628,10
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,112.9628,120.0205,10
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,120.0205,127.519,10
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,127.519,135.4861,8
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,135.4861,143.9509,12
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,143.9509,152.9446,15
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,152.9446,162.5001,14
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,162.5001,172.6527,7
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,172.6527,183.4396,9
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,183.4396,194.9004,10
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,194.9004,207.0773,8
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,207.0773,220.0149,15
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,220.0149,233.7609,19
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,233.7609,248.3657,25
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,248.3657,263.8829,16
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,263.8829,280.3696,7
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,280.3696,297.8864,8
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,297.8864,316.4975,11
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,316.4975,336.2714,6
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,336.2714,357.2808,12
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,357.2808,379.6028,21
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,379.6028,403.3193,3
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,403.3193,428.5177,8
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,428.5177,455.2903,8
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,none,400,1951665.1031,2073600.0,4
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,1.0,1.0625,196903
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,1.9477,2.0694,37823
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,2.9768,3.1628,12192
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,3.7934,4.0304,6203
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,4.8341,5.1361,3560
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,5.7979,6.1601,2407
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,6.9539,7.3884,1721
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,7.85,8.3404,1293
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,8.8615,9.4152,1065
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,9.4152,10.0034,857
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,10.6284,11.2924,653
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,11.998,12.7476,567
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,12.7476,13.544,471
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,13.544,14.3902,406
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,14.3902,15.2892,328
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,15.2892,16.2445,266
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,16.2445,17.2594,311
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,17.2594,18.3377,263
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,18.3377,19.4834,237
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,19.4834,20.7007,206
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,20.7007,21.994,172
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,21.994,23.3681,292
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,23.3681,24.8281,150
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,24.8281,26.3793,252
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,26.3793,28.0274,240
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,28.0274,29.7785,130
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,29.7785,31.639,195
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,31.639,33.6157,164
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,33.6157,35.7159,153
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,35.7159,37.9473,150
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,37.9473,40.3182,155
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,40.3182,42.8372,105
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,42.8372,45.5135,129
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,45.5135,48.3571,107
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,48.3571,51.3783,105
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,51.3783,54.5883,107
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,54.5883,57.9988,78
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,57.9988,61.6224,91
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,61.6224,65.4724,89
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,65.4724,69.563,90
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,69.563,73.9091,88
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,73.9091,78.5267,137
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,78.5267,83.4329,110
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,83.4329,88.6455,73
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,88.6455,94.1839,76
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,94.1839,100.0682,67
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,100.0682,106.3202,65
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,106.3202,112.9628,75
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,112.9628,120.0205,79
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,120.0205,127.519,74
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,127.519,135.4861,57
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,135.4861,143.9509,57
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,143.9509,152.9446,58
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,152.9446,162.5001,65
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,162.5001,172.6527,68
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,172.6527,183.4396,57
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,183.4396,194.9004,59
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,194.9004,207.0773,63
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,207.0773,220.0149,56
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,220.0149,233.7609,44
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,233.7609,248.3657,29
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,248.3657,263.8829,15
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,263.8829,280.3696,32
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,280.3696,297.8864,33
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,297.8864,316.4975,26
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,316.4975,336.2714,32
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,336.2714,357.2808,12
00_06_10_to_00_06_27,train,seaside,1920x1080,none,497,357.2808,379.6028,6
