video,split,scene,resolution,frame,variant,gt_x,gt_y,gt_w,gt_h,gt_area,best_coverage,matched_blob_area,n_blobs_in_frame
00_01_52_to_00_01_58,train,seaside,1920x1080,34,none,1.0,241.0,55.0,43.0,2365.0,0.655391,822,58
00_01_52_to_00_01_58,train,seaside,1920x1080,35,none,11.0,238.0,55.0,43.0,2365.0,0.790698,916,54
00_01_52_to_00_01_58,train,seaside,1920x1080,36,none,26.0,244.0,55.0,43.0,2365.0,0.767442,928,160
00_01_52_to_00_01_58,train,seaside,1920x1080,37,none,33.0,239.0,67.0,46.0,3082.0,0.674886,927,52
00_01_52_to_00_01_58,train,seaside,1920x1080,38,none,49.0,240.0,67.0,46.0,3082.0,0.67294,927,76
00_01_52_to_00_01_58,train,seaside,1920x1080,39,none,62.0,245.0,71.0,46.0,3266.0,0.656767,1051,171
00_01_52_to_00_01_58,train,seaside,1920x1080,40,none,78.0,241.0,71.0,46.0,3266.0,0.655848,1036,65
00_01_52_to_00_01_58,train,seaside,1920x1080,41,none,94.0,241.0,71.0,46.0,3266.0,0.694427,1003,91
00_01_52_to_00_01_58,train,seaside,1920x1080,42,none,107.0,244.0,71.0,46.0,3266.0,0.76087,1020,177
00_01_52_to_00_01_58,train,seaside,1920x1080,43,none,122.0,245.0,71.0,46.0,3266.0,0.716473,1048,82
00_01_52_to_00_01_58,train,seaside,1920x1080,44,none,142.0,247.0,65.0,41.0,2665.0,0.804878,1038,81
00_01_52_to_00_01_58,train,seaside,1920x1080,45,none,158.0,245.0,65.0,41.0,2665.0,0.874672,1113,568
00_01_52_to_00_01_58,train,seaside,1920x1080,46,none,173.0,245.0,65.0,41.0,2665.0,0.837523,1121,86
00_01_52_to_00_01_58,train,seaside,1920x1080,47,none,188.0,244.0,68.0,42.0,2856.0,0.806723,1120,91
00_01_52_to_00_01_58,train,seaside,1920x1080,48,none,204.0,244.0,68.0,42.0,2856.0,0.829132,1133,198
