video,split,scene,resolution,frame,variant,gt_x,gt_y,gt_w,gt_h,gt_area,best_coverage,matched_blob_area,n_blobs_in_frame
00_01_52_to_00_01_58,train,seaside,1920x1080,34,none,1.0,241.0,55.0,43.0,2365.0,0.769556,1167,342
00_01_52_to_00_01_58,train,seaside,1920x1080,35,none,11.0,238.0,55.0,43.0,2365.0,0.860465,1307,376
00_01_52_to_00_01_58,train,seaside,1920x1080,36,none,26.0,244.0,55.0,43.0,2365.0,0.813953,1343,1364
00_01_52_to_00_01_58,train,seaside,1920x1080,37,none,33.0,239.0,67.0,46.0,3082.0,0.804348,1352,333
00_01_52_to_00_01_58,train,seaside,1920x1080,38,none,49.0,240.0,67.0,46.0,3082.0,0.847826,1371,374
00_01_52_to_00_01_58,train,seaside,1920x1080,39,none,62.0,245.0,71.0,46.0,3266.0,0.782609,1496,1361
00_01_52_to_00_01_58,train,seaside,1920x1080,40,none,78.0,241.0,71.0,46.0,3266.0,0.804348,1463,371
00_01_52_to_00_01_58,train,seaside,1920x1080,41,none,94.0,241.0,71.0,46.0,3266.0,0.804348,1443,411
00_01_52_to_00_01_58,train,seaside,1920x1080,42,none,107.0,244.0,71.0,46.0,3266.0,0.826087,1502,1377
00_01_52_to_00_01_58,train,seaside,1920x1080,43,none,122.0,245.0,71.0,46.0,3266.0,0.804348,1495,362
00_01_52_to_00_01_58,train,seaside,1920x1080,44,none,142.0,247.0,65.0,41.0,2665.0,0.878049,1483,403
00_01_52_to_00_01_58,train,seaside,1920x1080,45,none,158.0,245.0,65.0,41.0,2665.0,0.97561,1565,4538
00_01_52_to_00_01_58,train,seaside,1920x1080,46,none,173.0,245.0,65.0,41.0,2665.0,0.95122,1495,392
00_01_52_to_00_01_58,train,seaside,1920x1080,47,none,188.0,244.0,68.0,42.0,2856.0,0.961835,1531,355
00_01_52_to_00_01_58,train,seaside,1920x1080,48,none,204.0,244.0,68.0,42.0,2856.0,0.952381,1577,1494
00_01_52_to_00_01_58,train,seaside,1920x1080,49,none,216.0,244.0,68.0,42.0,2856.0,0.952381,1543,364
00_01_52_to_00_01_58,train,seaside,1920x1080,50,none,232.0,247.0,68.0,42.0,2856.0,0.904762,1514,377
00_01_52_to_00_01_58,train,seaside,1920x1080,51,none,247.0,247.0,68.0,42.0,2856.0,0.928571,1564,1346
00_01_52_to_00_01_58,train,seaside,1920x1080,52,none,265.0,250.0,68.0,42.0,2856.0,0.857143,1587,372
00_01_52_to_00_01_58,train,seaside,1920x1080,53,none,281.0,246.0,68.0,42.0,2856.0,0.928571,1521,420
00_01_52_to_00_01_58,train,seaside,1920x1080,54,none,296.0,246.0,68.0,42.0,2856.0,0.952381,1549,1369
00_01_52_to_00_01_58,train,seaside,1920x1080,55,none,314.0,247.0,68.0,42.0,2856.0,0.97619,1535,397
00_01_52_to_00_01_58,train,seaside,1920x1080,56,none,330.0,247.0,68.0,42.0,2856.0,0.928571,1514,401
00_01_52_to_00_01_58,train,seaside,1920x1080,57,none,346.0,250.0,68.0,42.0,2856.0,0.904762,1520,1355
00_01_52_to_00_01_58,train,seaside,1920x1080,58,none,362.0,250.0,68.0,42.0,2856.0,0.904762,1511,379
00_01_52_to_00_01_58,train,seaside,1920x1080,59,none,380.0,248.0,68.0,42.0,2856.0,0.904762,1536,390
00_01_52_to_00_01_58,train,seaside,1920x1080,60,none,395.0,246.0,68.0,42.0,2856.0,0.904762,1555,4638
00_01_52_to_00_01_58,train,seaside,1920x1080,61,none,415.0,249.0,68.0,42.0,2856.0,0.904762,1556,369
00_01_52_to_00_01_58,train,seaside,1920x1080,62,none,431.0,247.0,68.0,42.0,2856.0,0.904762,1569,427
00_01_52_to_00_01_58,train,seaside,1920x1080,63,none,444.0,247.0,68.0,42.0,2856.0,0.904762,1530,1495
00_01_52_to_00_01_58,train,seaside,1920x1080,64,none,460.0,250.0,68.0,42.0,2856.0,0.880952,1533,382
00_01_52_to_00_01_58,train,seaside,1920x1080,65,none,480.0,250.0,68.0,42.0,2856.0,0.904762,1573,385
00_01_52_to_00_01_58,train,seaside,1920x1080,66,none,495.0,251.0,68.0,42.0,2856.0,0.904762,1579,1456
00_01_52_to_00_01_58,train,seaside,1920x1080,67,none,513.0,252.0,68.0,42.0,2856.0,0.904762,1574,384
00_01_52_to_00_01_58,train,seaside,1920x1080,68,none,528.0,252.0,68.0,42.0,2856.0,0.880952,1581,393
00_01_52_to_00_01_58,train,seaside,1920x1080,69,none,548.0,252.0,68.0,42.0,2856.0,0.880952,1593,1319
00_01_52_to_00_01_58,train,seaside,1920x1080,70,none,561.0,250.0,68.0,42.0,2856.0,0.904762,1599,387
00_01_52_to_00_01_58,train,seaside,1920x1080,71,none,581.0,253.0,68.0,42.0,2856.0,0.904762,1587,382
00_01_52_to_00_01_58,train,seaside,1920x1080,72,none,597.0,253.0,68.0,42.0,2856.0,0.904762,1562,1416
00_01_52_to_00_01_58,train,seaside,1920x1080,73,none,612.0,253.0,68.0,42.0,2856.0,0.904762,1571,401
00_01_52_to_00_01_58,train,seaside,1920x1080,74,none,628.0,254.0,68.0,42.0,2856.0,0.844538,1555,372
00_01_52_to_00_01_58,train,seaside,1920x1080,75,none,651.0,254.0,68.0,42.0,2856.0,0.928571,1580,4663
00_01_52_to_00_01_58,train,seaside,1920x1080,76,none,664.0,252.0,68.0,42.0,2856.0,0.880952,1558,377
00_01_52_to_00_01_58,train,seaside,1920x1080,77,none,682.0,255.0,68.0,42.0,2856.0,0.880952,1629,376
00_01_52_to_00_01_58,train,seaside,1920x1080,78,none,697.0,255.0,68.0,42.0,2856.0,0.880952,1541,1436
00_01_52_to_00_01_58,train,seaside,1920x1080,79,none,715.0,255.0,68.0,42.0,2856.0,0.880952,1560,422
00_01_52_to_00_01_58,train,seaside,1920x1080,80,none,733.0,255.0,68.0,42.0,2856.0,0.928571,1561,395
00_01_52_to_00_01_58,train,seaside,1920x1080,81,none,751.0,258.0,68.0,42.0,2856.0,0.880952,1593,1392
00_01_52_to_00_01_58,train,seaside,1920x1080,82,none,766.0,256.0,68.0,42.0,2856.0,0.928571,1517,379
00_01_52_to_00_01_58,train,seaside,1920x1080,83,none,782.0,257.0,68.0,42.0,2856.0,0.891457,1534,371
00_01_52_to_00_01_58,train,seaside,1920x1080,84,none,795.0,257.0,68.0,42.0,2856.0,0.864846,1515,1399
00_01_52_to_00_01_58,train,seaside,1920x1080,85,none,818.0,257.0,68.0,42.0,2856.0,0.904762,1544,401
00_01_52_to_00_01_58,train,seaside,1920x1080,86,none,834.0,257.0,68.0,42.0,2856.0,0.880952,1518,399
00_01_52_to_00_01_58,train,seaside,1920x1080,87,none,852.0,262.0,68.0,42.0,2856.0,0.809524,1532,1323
00_01_52_to_00_01_58,train,seaside,1920x1080,88,none,868.0,260.0,68.0,42.0,2856.0,0.880952,1591,613
00_01_52_to_00_01_58,train,seaside,1920x1080,89,none,884.0,258.0,68.0,42.0,2856.0,0.867997,1610,519
00_01_52_to_00_01_58,train,seaside,1920x1080,90,none,900.0,261.0,68.0,42.0,2856.0,0.952381,1638,4697
00_01_52_to_00_01_58,train,seaside,1920x1080,91,none,920.0,261.0,68.0,42.0,2856.0,0.880952,1571,612
00_01_52_to_00_01_58,train,seaside,1920x1080,92,none,935.0,259.0,68.0,42.0,2856.0,0.928571,1599,267
00_01_52_to_00_01_58,train,seaside,1920x1080,93,none,950.0,260.0,68.0,42.0,2856.0,0.914916,1630,1722
00_01_52_to_00_01_58,train,seaside,1920x1080,94,none,968.0,261.0,68.0,42.0,2856.0,0.914916,1623,552
00_01_52_to_00_01_58,train,seaside,1920x1080,95,none,988.0,262.0,68.0,42.0,2856.0,0.952381,1644,1124
00_01_52_to_00_01_58,train,seaside,1920x1080,96,none,1001.0,263.0,68.0,42.0,2856.0,0.938375,1639,2129
00_01_52_to_00_01_58,train,seaside,1920x1080,97,none,1024.0,264.0,68.0,42.0,2856.0,0.952381,1659,814
00_01_52_to_00_01_58,train,seaside,1920x1080,98,none,1035.0,262.0,68.0,42.0,2856.0,0.928571,1646,450
00_01_52_to_00_01_58,train,seaside,1920x1080,99,none,1053.0,262.0,68.0,42.0,2856.0,0.928571,1696,1353
00_01_52_to_00_01_58,train,seaside,1920x1080,100,none,1069.0,267.0,68.0,42.0,2856.0,0.928571,1680,332
00_01_52_to_00_01_58,train,seaside,1920x1080,101,none,1084.0,268.0,68.0,42.0,2856.0,0.928571,1742,362
00_01_52_to_00_01_58,train,seaside,1920x1080,102,none,1102.0,266.0,68.0,42.0,2856.0,0.97619,1756,1651
00_01_52_to_00_01_58,train,seaside,1920x1080,103,none,1120.0,267.0,68.0,42.0,2856.0,0.952381,1716,489
00_01_52_to_00_01_58,train,seaside,1920x1080,104,none,1138.0,268.0,68.0,42.0,2856.0,0.952381,1777,334
