video,split,scene,resolution,variant,frames_processed,bin_lo,bin_hi,count
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,1.0,1.0625,4319
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,1.9477,2.0694,1315
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,2.9768,3.1628,711
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,3.7934,4.0304,320
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,4.8341,5.1361,204
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,5.7979,6.1601,134
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,6.9539,7.3884,104
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,7.85,8.3404,102
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,8.8615,9.4152,77
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,9.4152,10.0034,42
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,10.6284,11.2924,33
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,11.998,12.7476,21
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,12.7476,13.544,24
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,13.544,14.3902,19
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,14.3902,15.2892,11
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,15.2892,16.2445,18
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,16.2445,17.2594,22
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,17.2594,18.3377,11
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,18.3377,19.4834,9
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,19.4834,20.7007,7
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,20.7007,21.994,9
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,21.994,23.3681,8
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,23.3681,24.8281,7
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,24.8281,26.3793,25
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,26.3793,28.0274,18
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,28.0274,29.7785,5
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,29.7785,31.639,13
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,31.639,33.6157,13
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,33.6157,35.7159,9
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,35.7159,37.9473,10
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,37.9473,40.3182,10
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,40.3182,42.8372,4
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,42.8372,45.5135,3
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,45.5135,48.3571,6
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,48.3571,51.3783,2
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,51.3783,54.5883,2
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,54.5883,57.9988,2
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,57.9988,61.6224,8
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,61.6224,65.4724,5
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,65.4724,69.563,3
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,69.563,73.9091,1
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,73.9091,78.5267,2
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,78.5267,83.4329,3
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,83.4329,88.6455,2
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,88.6455,94.1839,4
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,94.1839,100.0682,6
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,100.0682,106.3202,2
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,120.0205,127.519,1
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,143.9509,152.9446,1
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,162.5001,172.6527,1
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,183.4396,194.9004,1
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,233.7609,248.3657,1
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,248.3657,263.8829,2
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,263.8829,280.3696,2
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,280.3696,297.8864,3
00_01_52_to_00_01_58,train,seaside,1920x1080,none,175,297.8864,316.4975,1
