video,split,scene,resolution,frame,variant,gt_x,gt_y,gt_w,gt_h,gt_area,best_coverage,matched_blob_area,n_blobs_in_frame
00_01_52_to_00_01_58,train,seaside,1920x1080,34,none,1.0,241.0,55.0,43.0,2365.0,0.169133,189,39
00_01_52_to_00_01_58,train,seaside,1920x1080,35,none,11.0,238.0,55.0,43.0,2365.0,0.223256,239,48
00_01_52_to_00_01_58,train,seaside,1920x1080,36,none,26.0,244.0,55.0,43.0,2365.0,0.251586,266,48
00_01_52_to_00_01_58,train,seaside,1920x1080,37,none,33.0,239.0,67.0,46.0,3082.0,0.231668,354,45
00_01_52_to_00_01_58,train,seaside,1920x1080,38,none,49.0,240.0,67.0,46.0,3082.0,0.187541,257,41
00_01_52_to_00_01_58,train,seaside,1920x1080,39,none,62.0,245.0,71.0,46.0,3266.0,0.33068,421,46
00_01_52_to_00_01_58,train,seaside,1920x1080,40,none,78.0,241.0,71.0,46.0,3266.0,0.208818,261,49
00_01_52_to_00_01_58,train,seaside,1920x1080,41,none,94.0,241.0,71.0,46.0,3266.0,0.198408,290,43
00_01_52_to_00_01_58,train,seaside,1920x1080,42,none,107.0,244.0,71.0,46.0,3266.0,0.229026,412,52
00_01_52_to_00_01_58,train,seaside,1920x1080,43,none,122.0,245.0,71.0,46.0,3266.0,0.18218,290,44
00_01_52_to_00_01_58,train,seaside,1920x1080,44,none,142.0,247.0,65.0,41.0,2665.0,0.223265,285,45
00_01_52_to_00_01_58,train,seaside,1920x1080,45,none,158.0,245.0,65.0,41.0,2665.0,0.320826,402,63
00_01_52_to_00_01_58,train,seaside,1920x1080,46,none,173.0,245.0,65.0,41.0,2665.0,0.274296,405,51
00_01_52_to_00_01_58,train,seaside,1920x1080,47,none,188.0,244.0,68.0,42.0,2856.0,0.232143,315,52
00_01_52_to_00_01_58,train,seaside,1920x1080,48,none,204.0,244.0,68.0,42.0,2856.0,0.283613,407,54
00_01_52_to_00_01_58,train,seaside,1920x1080,49,none,216.0,244.0,68.0,42.0,2856.0,0.345588,343,50
00_01_52_to_00_01_58,train,seaside,1920x1080,50,none,232.0,247.0,68.0,42.0,2856.0,0.428571,468,55
00_01_52_to_00_01_58,train,seaside,1920x1080,51,none,247.0,247.0,68.0,42.0,2856.0,0.283613,414,65
00_01_52_to_00_01_58,train,seaside,1920x1080,52,none,265.0,250.0,68.0,42.0,2856.0,0.29937,427,61
