video,split,scene,resolution,inventory_frames,decoded_frames,valid_centres,raw_blobs,positive,negative,ignored,gt_boxes_in_valid_window,gt_matched,gt_recall,seconds
00_01_52_to_00_01_58,train,seaside,1920x1080,177,175,168,195162,121,1523,9,122,121,0.991803,2.6
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,400,400,393,898823,343,14097,42,393,343,0.872774,6.9
00_06_10_to_00_06_27,train,seaside,1920x1080,499,497,490,945861,227,5306,1,227,227,1.0,8.4
00_09_30_to_00_10_09,train,seaside,1920x1080,1167,1165,1158,3246810,1012,64854,350,1082,1012,0.935305,20.8
00_10_09_to_00_10_40,train,seaside,1920x1080,926,924,917,2057491,762,2952,136,891,762,0.855219,13.3
2019_08_19_C0001_5319_phantom,test,industrial,3840x2160,2951,2951,2944,145693170,2404,1646876,1512,2813,2404,0.854604,206.8
2019_08_19_GOPR5869_1530_phantom,test,industrial,1920x1080,1000,1000,993,8420628,831,435885,375,960,831,0.865625,17.4
2019_08_19_GP015869_1520_inspire,test,industrial,1920x1080,876,876,869,11220738,801,366084,1223,869,801,0.921749,16.3
2019_09_02_C0002_2527_inspire,train,industrial,3840x2160,502,502,495,28359390,464,116054,10,479,464,0.968685,31.2
2019_09_02_C0002_3700_mavic,train,industrial,3840x2160,928,928,921,33603929,737,145375,120,842,737,0.875297,57.1
2019_09_02_GOPR5871_1058_solo,train,industrial,1920x1080,725,725,718,7246505,150,87258,529,719,150,0.208623,11.5
2019_10_16_C0003_1700_matrice,train,industrial,3840x2160,1576,1576,1569,82691544,1250,737457,631,1294,1250,0.965997,103.7
2019_11_14_C0001_3922_matrice,val,industrial,3840x2160,2601,2601,2594,118496008,2462,33379,37,2517,2462,0.978149,160.0
GOPR5842_002,test,meadow,1920x1080,612,612,605,6027539,564,51838,53,595,564,0.947899,9.7
GOPR5842_005,test,meadow,1920x1080,526,526,519,3512706,425,29291,114,492,425,0.863821,8.0
GOPR5842_007,test,meadow,1920x1080,511,511,504,4407923,468,23666,17,477,468,0.981132,8.0
GOPR5843_002,val,meadow,1920x1080,424,424,417,3562918,118,41290,261,389,118,0.303342,6.6
GOPR5843_005,val,meadow,1920x1080,571,571,564,3541557,480,101182,51,524,480,0.916031,8.9
GOPR5844_002,train,meadow,1920x1080,497,497,490,1966203,351,44927,101,442,351,0.794118,7.4
GOPR5844_004,train,meadow,1920x1080,417,417,410,1233312,376,17620,145,401,376,0.937656,6.1
GOPR5845_001,train,meadow,1920x1080,601,601,594,2619696,350,37473,203,540,350,0.648148,8.9
GOPR5845_004,train,meadow,1920x1080,391,391,384,1865828,302,10037,60,352,302,0.857955,5.8
GOPR5846_002,val,meadow,1920x1080,686,686,679,3037771,580,92211,80,629,580,0.922099,10.5
GOPR5846_005,val,meadow,1920x1080,450,450,443,1993526,369,22378,10,379,369,0.973615,6.7
GOPR5847_003,train,lake,1920x1080,496,496,489,2780947,412,35689,49,456,412,0.903509,7.5
GOPR5847_004,train,lake,1920x1080,721,721,714,6561151,595,209782,148,694,595,0.857349,12.2
GOPR5848_002,train,meadow,1920x1080,511,511,504,1346994,394,26320,139,497,394,0.792757,7.4
GOPR5848_004,train,meadow,1920x1080,691,691,684,1959890,540,61770,109,640,540,0.84375,10.2
gopro_000,train,gopro_fisheye,1920x1080,481,481,474,11516597,903,433852,144,948,903,0.952532,11.6
gopro_001,train,gopro_fisheye,1920x1080,481,481,474,9504323,759,419031,102,943,759,0.804878,10.8
gopro_002,train,gopro_fisheye,1920x1080,319,319,312,810742,158,5006,365,624,158,0.253205,4.7
gopro_003,train,gopro_fisheye,1920x1080,555,555,548,1529589,312,18312,226,548,312,0.569343,8.0
gopro_004,test,gopro_fisheye,1920x1080,751,751,744,975844,627,743,46,671,627,0.934426,10.7
gopro_005,val,gopro_fisheye,1920x1080,811,811,804,11105399,375,417384,278,804,375,0.466418,15.8
gopro_006,train,gopro_fisheye,1920x1080,1351,1351,1344,16542747,248,525756,501,923,248,0.268689,24.8
gopro_007,train,gopro_fisheye,1920x1080,3481,3481,3474,31622432,1748,1174427,666,3474,1748,0.503166,59.4
gopro_008,train,gopro_fisheye,1920x1080,991,991,984,10573232,833,318844,299,984,833,0.846545,17.5
