video,split,scene,session,resolution,fps,frame,track_id,associated,x,y,w,h,cx,cy,box_area,visible_area,clipped,area_frac,equiv_side,equiv_side_frac
00_01_52_to_00_01_58,train,seaside,seaside_cuts,1920x1080,29.97002997002997,34,0,False,1.0,241.0,55.0,43.0,28.5,262.5,2365.0,2365.0,False,0.001140529,48.6313,0.033771712
00_01_52_to_00_01_58,train,seaside,seaside_cuts,1920x1080,29.97002997002997,35,0,False,11.0,238.0,55.0,43.0,38.5,259.5,2365.0,2365.0,False,0.001140529,48.6313,0.033771712
00_01_52_to_00_01_58,train,seaside,seaside_cuts,1920x1080,29.97002997002997,36,0,False,26.0,244.0,55.0,43.0,53.5,265.5,2365.0,2365.0,False,0.001140529,48.6313,0.033771712
00_01_52_to_00_01_58,train,seaside,seaside_cuts,1920x1080,29.97002997002997,37,0,False,33.0,239.0,67.0,46.0,66.5,262.0,3082.0,3082.0,False,0.001486304,55.5158,0.038552614
00_01_52_to_00_01_58,train,seaside,seaside_cuts,1920x1080,29.97002997002997,38,0,False,49.0,240.0,67.0,46.0,82.5,263.0,3082.0,3082.0,False,0.001486304,55.5158,0.038552614
00_01_52_to_00_01_58,train,seaside,seaside_cuts,1920x1080,29.97002997002997,39,0,False,62.0,245.0,71.0,46.0,97.5,268.0,3266.0,3266.0,False,0.001575039,57.1489,0.039686756
00_01_52_to_00_01_58,train,seaside,seaside_cuts,1920x1080,29.97002997002997,40,0,False,78.0,241.0,71.0,46.0,113.5,264.0,3266.0,3266.0,False,0.001575039,57.1489,0.039686756
00_01_52_to_00_01_58,train,seaside,seaside_cuts,1920x1080,29.97002997002997,41,0,False,94.0,241.0,71.0,46.0,129.5,264.0,3266.0,3266.0,False,0.001575039,57.1489,0.039686756
00_01_52_to_00_01_58,train,seaside,seaside_cuts,1920x1080,29.97002997002997,42,0,False,107.0,244.0,71.0,46.0,142.5,267.0,3266.0,3266.0,False,0.001575039,57.1489,0.039686756
00_01_52_to_00_01_58,train,seaside,seaside_cuts,1920x1080,29.97002997002997,43,0,False,122.0,245.0,71.0,46.0,157.5,268.0,3266.0,3266.0,False,0.001575039,57.1489,0.039686756
00_01_52_to_00_01_58,train,seaside,seaside_cuts,1920x1080,29.97002997002997,44,0,False,142.0,247.0,65.0,41.0,174.5,267.5,2665.0,2665.0,False,0.001285204,51.6236,0.035849749
