video,split,scene,resolution,fps,track_id,associated,length_frames,length_seconds,first_frame,last_frame,mean_step_px,max_step_px,cum_drift_T3_px,cum_drift_T3_over_size,cum_drift_T5_px,cum_drift_T5_over_size,cum_drift_T8_px,cum_drift_T8_over_size,cum_drift_T16_px,cum_drift_T16_over_size
00_01_52_to_00_01_58,train,seaside,1920x1080,29.97002997002997,0,False,122,4.0707,34,155,15.6475,23.0217,39.0128,0.802217,74.108,1.523876,125.064,2.571679,258.124,5.307779
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,50.0,0,False,399,7.98,0,398,0.8893,3.0414,4.1231,0.295262,5.5,0.393863,7.5,0.537086,14.6373,1.048197
00_06_10_to_00_06_27,train,seaside,1920x1080,29.97002997002997,0,False,3,0.1001,260,262,1.8251,2.2361,1.0,0.091287,,,,,,
00_06_10_to_00_06_27,train,seaside,1920x1080,29.97002997002997,1,False,3,0.1001,264,266,1.1036,1.5,1.118,0.085749,,,,,,
00_06_10_to_00_06_27,train,seaside,1920x1080,29.97002997002997,2,False,1,0.0334,268,268,,,,,,,,,,
00_06_10_to_00_06_27,train,seaside,1920x1080,29.97002997002997,3,False,29,0.9676,270,298,1.4971,2.9155,4.5277,0.364852,7.2801,0.586648,11.1018,0.894609,21.7083,1.749304
00_06_10_to_00_06_27,train,seaside,1920x1080,29.97002997002997,4,False,191,6.373,300,490,4.9203,27.8029,47.2467,3.128989,89.5684,5.931813,144.41,9.563786,271.2015,17.960758
00_09_30_to_00_10_09,train,seaside,1920x1080,29.97002997002997,0,False,766,25.5589,37,802,3.7586,38.513,69.5647,0.340366,121.8524,0.596199,203.4631,0.995504,365.0151,1.785945
00_09_30_to_00_10_09,train,seaside,1920x1080,29.97002997002997,1,False,159,5.3053,844,1002,0.9489,3.0,3.0414,0.160295,4.0311,0.212459,6.0,0.316228,10.2591,0.540704
00_09_30_to_00_10_09,train,seaside,1920x1080,29.97002997002997,2,False,160,5.3387,1004,1163,0.5767,2.5495,2.5495,0.183995,3.6401,0.262698,4.6098,0.332682,7.6485,0.551985
00_10_09_to_00_10_40,train,seaside,1920x1080,29.97002997002997,0,False,894,29.8298,0,893,3.0154,38.0526,71.1969,5.933076,141.7965,11.816376,242.9841,20.248671,474.6051,39.550425
2019_09_02_C0002_2527_inspire,train,industrial,3840x2160,25.0,0,False,205,8.2,0,204,9.8171,16.0078,29.9082,0.747939,56.8507,1.421711,95.8188,2.39622,198.5006,4.964067
2019_09_02_C0002_2527_inspire,train,industrial,3840x2160,25.0,1,False,281,11.24,221,501,9.0046,19.6787,37.5766,1.462667,73.7987,2.872611,127.0325,4.944732,267.0599,10.395293
2019_09_02_C0002_3700_mavic,train,industrial,3840x2160,25.0,0,False,845,33.8,82,926,7.764,22.8035,40.3268,1.15645,76.0608,2.181194,131.0925,3.759336,273.5416,7.844343
2019_09_02_GOPR5871_1058_solo,train,industrial,1920x1080,25.0,0,True,477,19.08,0,476,5.577,1485.2034,1485.4605,124.22045,1485.1239,124.1923,1483.6612,124.069981,1477.806,123.580344
2019_09_02_GOPR5871_1058_solo,train,industrial,1920x1080,25.0,1,True,249,9.96,476,724,3.0386,7.6158,12.53,1.143824,20.6155,1.881932,35.3412,3.226195,73.6291,6.72139
2019_10_16_C0003_1700_matrice,train,industrial,3840x2160,25.0,0,False,696,27.84,23,718,7.0126,22.2036,43.2897,0.986664,85.4751,1.948159,149.8566,3.415549,318.5122,7.259566
2019_10_16_C0003_1700_matrice,train,industrial,3840x2160,25.0,1,False,470,18.8,897,1366,3.9857,14.4222,19.6977,0.3341,37.855,0.642071,65.5134,1.111194,132.1968,2.242235
2019_10_16_C0003_1700_matrice,train,industrial,3840x2160,25.0,2,False,132,5.28,1444,1575,5.9013,12.0,23.0,0.271095,45.0111,0.530535,78.0256,0.919669,166.0271,1.95692
GOPR5844_002,train,meadow,1920x1080,29.970457275421573,0,False,446,14.8813,51,496,7.2839,45.7001,90.6159,3.126547,180.608,6.231568,301.6496,10.407901,603.016,20.806027
GOPR5844_004,train,meadow,1920x1080,29.96985007769486,0,False,404,13.4802,0,403,4.7031,26.2488,36.1836,3.481765,61.3209,5.900604,97.0902,9.342505,193.2317,18.593732
GOPR5845_001,train,meadow,1920x1080,29.97060105689109,0,False,540,18.0177,42,581,4.3877,15.1162,27.7308,1.033468,53.9189,2.00944,94.2245,3.511539,192.5097,7.174414
GOPR5845_004,train,meadow,1920x1080,29.970846696436336,0,False,352,11.7447,29,380,4.8493,9.8995,18.0624,0.601079,36.0694,1.200314,62.2615,2.071934,128.8177,4.286785
GOPR5847_003,train,lake,1920x1080,29.96979154066368,0,False,456,15.2153,24,479,7.6566,35.1319,69.3271,3.154493,137.7679,6.268657,222.4916,10.123717,414.5193,18.861281
GOPR5847_004,train,lake,1920x1080,29.970501184446306,0,False,698,23.2896,23,720,3.1697,9.2195,18.2003,0.933654,35.107,1.80095,60.6238,3.109937,126.0575,6.466615
GOPR5848_002,train,meadow,1920x1080,29.970648094151535,0,False,501,16.7164,10,510,4.4365,19.6023,38.9647,1.156066,72.5,2.151042,125.4472,3.721961,257.9651,7.653707
GOPR5848_004,train,meadow,1920x1080,29.970522900503756,0,False,644,21.4878,47,690,8.0776,61.4044,116.8129,6.530039,226.0448,12.636288,383.9352,21.462631,760.6124,42.519527
gopro_000,train,gopro_fisheye,1920x1080,25.0,0,True,480,19.2,0,479,1.2057,4.4721,8.544,0.574732,15.6605,1.053437,26.4055,1.776226,54.8931,3.692508
gopro_000,train,gopro_fisheye,1920x1080,25.0,1,True,480,19.2,0,479,2.5412,6.5765,11.7686,0.697112,23.3452,1.382852,40.1155,2.376235,83.9434,4.97238
gopro_001,train,gopro_fisheye,1920x1080,25.0,0,True,480,19.2,0,479,2.4259,9.3408,18.2003,1.014262,35.4683,1.976571,61.4654,3.425335,126.8464,7.068871
gopro_001,train,gopro_fisheye,1920x1080,25.0,1,True,265,10.6,0,264,1.988,5.3852,9.8489,0.947707,19.2419,1.851551,32.8976,3.16557,67.3684,6.482526
gopro_001,train,gopro_fisheye,1920x1080,25.0,2,True,210,8.4,270,479,2.2011,4.4721,8.2462,1.558387,16.2788,3.076408,27.4591,5.189275,57.1686,10.803852
gopro_002,train,gopro_fisheye,1920x1080,29.969966552877487,0,True,318,10.6106,0,317,0.829,3.0,5.099,0.642416,9.1241,1.149534,15.5724,1.961939,32.1908,4.055664
gopro_002,train,gopro_fisheye,1920x1080,29.969966552877487,1,True,318,10.6106,0,317,2.564,6.5,12.3491,0.920447,23.585,1.757919,40.6725,3.031547,86.0349,6.412661
gopro_003,train,gopro_fisheye,1920x1080,29.970837995470294,0,False,554,18.4846,0,553,1.8474,3.9051,7.1063,0.58023,12.8062,1.045626,22.2991,1.820714,45.5247,3.717078
gopro_006,train,gopro_fisheye,1920x1080,29.970933447224024,0,False,926,30.8966,424,1349,2.7231,30.6472,41.0,0.510114,62.8431,0.781882,100.948,1.255976,200.8606,2.499071
gopro_007,train,gopro_fisheye,1920x1080,29.970896681769556,0,False,3480,116.1126,0,3479,2.2541,10.5,19.5576,2.793944,38.5811,5.511583,63.7377,9.105392,131.1459,18.73513
gopro_008,train,gopro_fisheye,1920x1080,29.970364906495423,0,False,990,33.0326,0,989,4.152,23.5478,34.2345,5.705748,58.4637,9.743944,101.0371,16.83952,204.7791,34.129858
2019_11_14_C0001_3922_matrice,val,industrial,3840x2160,25.0,0,False,1316,52.64,0,1315,5.5994,25.224,45.1359,1.094707,84.2214,2.04267,140.6556,3.4114,292.3701,7.091015
2019_11_14_C0001_3922_matrice,val,industrial,3840x2160,25.0,1,False,1208,48.32,1393,2600,4.3866,14.1421,27.5045,0.374636,53.5023,0.72875,93.5013,1.273572,196.5312,2.67693
GOPR5843_002,val,meadow,1920x1080,29.96887956040846,0,False,393,13.1136,31,423,6.3169,49.1554,89.9569,1.183541,172.8872,2.274635,295.7926,3.891671,589.6069,7.757314
GOPR5843_005,val,meadow,1920x1080,29.970632584188987,0,False,147,4.9048,18,164,6.7926,9.9247,19.105,0.735351,37.9111,1.459198,64.4864,2.482084,129.0591,4.967487
GOPR5843_005,val,meadow,1920x1080,29.970632584188987,1,False,377,12.579,166,542,6.1823,23.5372,46.3816,3.247359,92.1765,6.453643,159.9695,11.200107,334.8865,23.446748
GOPR5846_002,val,meadow,1920x1080,29.970737865266486,0,False,629,20.9871,39,667,5.904,42.0862,78.9066,6.087776,154.6932,11.934843,255.1495,19.685209,488.0638,37.654938
GOPR5846_005,val,meadow,1920x1080,29.97000099996667,0,False,379,12.646,38,416,6.3798,14.9833,29.0904,1.550522,55.9129,2.980166,96.4184,5.139116,202.1565,10.774978
gopro_005,val,gopro_fisheye,1920x1080,29.970445676097235,0,False,810,27.0266,0,809,2.9587,14.8071,26.6177,4.859698,52.1728,9.525405,91.2921,16.667583,194.0309,35.425038
