video,track_id,scene,split,fps,associated,track_frames,n_segments,anchored_run_frames,anchored_run_start_frame,anchored_run_sec,pairwise_run_frames,pairwise_run_start_frame,pairwise_run_sec,mog2_ceiling_frames_at_run_start,mog2_ceiling_sec_at_run_start,ceiling_covers_run
00_01_52_to_00_01_58,0,seaside,train,29.97002997002997,False,122,1,5,151,0.167,122,34,4.071,31.8,1.06,True
00_02_45_to_00_03_10_cut,0,seaside,train,50.0,False,399,1,75,324,1.5,399,0,7.98,68.2,1.364,False
00_06_10_to_00_06_27,0,seaside,train,29.97002997002997,False,3,1,3,260,0.1,3,260,0.1,54.7,1.826,True
00_06_10_to_00_06_27,1,seaside,train,29.97002997002997,False,3,1,3,264,0.1,3,264,0.1,55.6,1.854,True
00_06_10_to_00_06_27,2,seaside,train,29.97002997002997,False,1,1,1,268,0.033,1,268,0.033,56.4,1.883,True
00_06_10_to_00_06_27,3,seaside,train,29.97002997002997,False,29,1,7,272,0.234,29,270,0.968,57.3,1.911,True
00_06_10_to_00_06_27,4,seaside,train,29.97002997002997,False,191,1,13,333,0.434,191,300,6.373,70.1,2.34,True
00_09_30_to_00_10_09,0,seaside,train,29.97002997002997,False,766,1,112,357,3.737,766,37,25.559,75.2,2.508,False
00_09_30_to_00_10_09,1,seaside,train,29.97002997002997,False,159,1,43,960,1.435,159,844,5.305,202.2,6.748,True
00_09_30_to_00_10_09,2,seaside,train,29.97002997002997,False,160,1,66,1081,2.202,160,1004,5.339,227.7,7.599,True
00_10_09_to_00_10_40,0,seaside,train,29.97002997002997,False,894,1,104,25,3.47,894,0,29.83,5.2,0.174,False
2019_09_02_C0002_2527_inspire,0,industrial,train,25.0,False,205,1,13,0,0.52,205,0,8.2,0.2,0.006,False
2019_09_02_C0002_2527_inspire,1,industrial,train,25.0,False,281,1,24,347,0.96,281,221,11.24,73.1,2.923,True
2019_09_02_C0002_3700_mavic,0,industrial,train,25.0,False,845,1,66,759,2.64,402,518,16.08,159.9,6.395,True
2019_09_02_GOPR5871_1058_solo,0,industrial,train,25.0,True,477,1,35,75,1.4,361,0,14.44,15.8,0.63,False
2019_09_02_GOPR5871_1058_solo,1,industrial,train,25.0,True,249,1,11,711,0.44,249,476,9.96,149.8,5.991,True
2019_10_16_C0003_1700_matrice,0,industrial,train,25.0,False,696,1,46,127,1.84,696,23,27.84,26.7,1.068,False
2019_10_16_C0003_1700_matrice,1,industrial,train,25.0,False,470,1,59,1128,2.36,470,897,18.8,237.6,9.506,True
2019_10_16_C0003_1700_matrice,2,industrial,train,25.0,False,132,1,45,1527,1.8,132,1444,5.28,321.7,12.869,True
2019_11_14_C0001_3922_matrice,0,industrial,val,25.0,False,1316,1,74,1125,2.96,1316,0,52.64,237.0,9.48,True
2019_11_14_C0001_3922_matrice,1,industrial,val,25.0,False,1208,1,97,1989,3.88,717,1884,28.68,419.1,16.763,True
GOPR5843_002,0,meadow,val,29.96887956040846,False,393,1,13,411,0.434,235,189,7.841,86.6,2.888,True
GOPR5843_005,0,meadow,val,29.970632584188987,False,147,1,4,150,0.133,147,18,4.905,31.6,1.053,True
GOPR5843_005,1,meadow,val,29.970632584188987,False,377,1,20,280,0.667,195,348,6.506,58.9,1.967,True
GOPR5844_002,0,meadow,train,29.970457275421573,False,446,1,38,256,1.268,446,51,14.881,53.9,1.798,True
GOPR5844_004,0,meadow,train,29.96985007769486,False,404,1,26,337,0.868,404,0,13.48,71.0,2.368,True
GOPR5845_001,0,meadow,train,29.97060105689109,False,540,1,23,293,0.767,540,42,18.018,61.7,2.058,True
GOPR5845_004,0,meadow,train,29.970846696436336,False,352,1,30,175,1.001,352,29,11.745,36.8,1.229,True
GOPR5846_002,0,meadow,val,29.970737865266486,False,629,1,29,397,0.968,565,82,18.852,83.6,2.79,True
GOPR5846_005,0,meadow,val,29.97000099996667,False,379,1,29,189,0.968,245,92,8.175,39.8,1.327,True
GOPR5847_003,0,lake,train,29.96979154066368,False,456,1,30,123,1.001,420,59,14.014,25.9,0.863,False
GOPR5847_004,0,lake,train,29.970501184446306,False,698,1,65,160,2.169,439,23,14.648,33.7,1.123,False
GOPR5848_002,0,meadow,train,29.970648094151535,False,501,1,29,109,0.968,230,194,7.674,22.9,0.765,False
GOPR5848_004,0,meadow,train,29.970522900503756,False,644,1,32,343,1.068,480,185,16.016,72.2,2.41,True
gopro_000,0,gopro_fisheye,train,25.0,True,480,1,58,2,2.32,480,0,19.2,0.4,0.015,False
gopro_000,1,gopro_fisheye,train,25.0,True,480,1,58,347,2.32,480,0,19.2,73.1,2.923,True
gopro_001,0,gopro_fisheye,train,25.0,True,480,1,191,277,7.64,480,0,19.2,58.3,2.333,False
