strip_id,score,usable_frames,note,T,stride,condition,padding_fraction,scene,resolution,fps,video,track_id,centre_frame,centre_equiv_side
E0000,usable,3,,3,1,AB,0.3,gopro_fisheye,1920x1080,25.0,gopro_000,1,272,22.3607
E0002,usable,5,,5,1,A,0.3,gopro_fisheye,1920x1080,25.0,gopro_000,1,272,22.3607
E0004,usable,5,,5,1,B,0.5,gopro_fisheye,1920x1080,25.0,gopro_000,1,272,22.3607
E0006,usable,8,,8,1,A,0.3,gopro_fisheye,1920x1080,25.0,gopro_000,1,272,22.3607
E0008,usable,8,,8,1,B,0.75,gopro_fisheye,1920x1080,25.0,gopro_000,1,272,22.3607
E0010,degrades,9,5,16,1,A,0.3,gopro_fisheye,1920x1080,25.0,gopro_000,1,272,22.3607
E0012,degrades,15,2,16,1,B,1.0,gopro_fisheye,1920x1080,25.0,gopro_000,1,272,22.3607
E0014,usable,3,,3,1,AB,0.3,gopro_fisheye,1920x1080,29.970933447224024,gopro_006,0,580,19.975
E0016,usable,5,,5,1,A,0.3,gopro_fisheye,1920x1080,29.970933447224024,gopro_006,0,580,19.975
E0018,usable,5,,5,1,B,0.5,gopro_fisheye,1920x1080,29.970933447224024,gopro_006,0,580,19.975
E0020,usable,8,,8,1,A,0.3,gopro_fisheye,1920x1080,29.970933447224024,gopro_006,0,580,19.975
E0022,usable,8,,8,1,B,0.75,gopro_fisheye,1920x1080,29.970933447224024,gopro_006,0,580,19.975
E0024,degrades,9,1,16,1,A,0.3,gopro_fisheye,1920x1080,29.970933447224024,gopro_006,0,580,19.975
E0026,degrades,15,1,16,1,B,1.0,gopro_fisheye,1920x1080,29.970933447224024,gopro_006,0,580,19.975
E0028,usable,3,,3,1,AB,0.3,gopro_fisheye,1920x1080,29.970445676097235,gopro_005,0,302,38.8844
E0030,usable,5,,5,1,A,0.3,gopro_fisheye,1920x1080,29.970445676097235,gopro_005,0,302,38.8844
E0032,usable,5,,5,1,B,0.5,gopro_fisheye,1920x1080,29.970445676097235,gopro_005,0,302,38.8844
E0034,degrades,7,1,8,1,A,0.3,gopro_fisheye,1920x1080,29.970445676097235,gopro_005,0,302,38.8844
E0036,usable,,,8,1,B,0.75,gopro_fisheye,1920x1080,29.970445676097235,gopro_005,0,302,38.8844
E0038,degrades,08,1,16,1,A,0.3,gopro_fisheye,1920x1080,29.970445676097235,gopro_005,0,302,38.8844
E0040,degrades,13,1,16,1,B,1.0,gopro_fisheye,1920x1080,29.970445676097235,gopro_005,0,302,38.8844
E0042,usable,3,,3,1,AB,0.3,industrial,3840x2160,25.0,2019_11_14_C0001_3922_matrice,1,1558,54.6717
E0044,usable,,,5,1,A,0.3,industrial,3840x2160,25.0,2019_11_14_C0001_3922_matrice,1,1558,54.6717
E0046,usable,5,,5,1,B,0.5,industrial,3840x2160,25.0,2019_11_14_C0001_3922_matrice,1,1558,54.6717
E0048,usable,8,,8,1,A,0.3,industrial,3840x2160,25.0,2019_11_14_C0001_3922_matrice,1,1558,54.6717
E0050,usable,,,8,1,B,0.75,industrial,3840x2160,25.0,2019_11_14_C0001_3922_matrice,1,1558,54.6717
E0052,usable,16,,16,1,A,0.3,industrial,3840x2160,25.0,2019_11_14_C0001_3922_matrice,1,1558,54.6717
E0054,usable,16,,16,1,B,1.0,industrial,3840x2160,25.0,2019_11_14_C0001_3922_matrice,1,1558,54.6717
E0056,usable,,,3,1,AB,0.3,industrial,3840x2160,25.0,2019_09_02_C0002_2527_inspire,0,98,30.3974
E0058,usable,,,5,1,A,0.3,industrial,3840x2160,25.0,2019_09_02_C0002_2527_inspire,0,98,30.3974
E0060,usable,5,,5,1,B,0.5,industrial,3840x2160,25.0,2019_09_02_C0002_2527_inspire,0,98,30.3974
E0062,usable,8,,8,1,A,0.3,industrial,3840x2160,25.0,2019_09_02_C0002_2527_inspire,0,98,30.3974
E0064,usable,8,,8,1,B,0.75,industrial,3840x2160,25.0,2019_09_02_C0002_2527_inspire,0,98,30.3974
E0066,degrades,8,7,16,1,A,0.3,industrial,3840x2160,25.0,2019_09_02_C0002_2527_inspire,0,98,30.3974
E0068,degrades,13,1,16,1,B,1.0,industrial,3840x2160,25.0,2019_09_02_C0002_2527_inspire,0,98,30.3974
E0070,cannot_tell,,,3,1,AB,0.3,industrial,1920x1080,25.0,2019_09_02_GOPR5871_1058_solo,0,255,9.9499
E0072,cannot_tell,,,5,1,A,0.3,industrial,1920x1080,25.0,2019_09_02_GOPR5871_1058_solo,0,255,9.9499
E0074,cannot_tell,,,5,1,B,0.5,industrial,1920x1080,25.0,2019_09_02_GOPR5871_1058_solo,0,255,9.9499
E0076,cannot_tell,,,8,1,A,0.3,industrial,1920x1080,25.0,2019_09_02_GOPR5871_1058_solo,0,255,9.9499
E0078,cannot_tell,,,8,1,B,0.75,industrial,1920x1080,25.0,2019_09_02_GOPR5871_1058_solo,0,255,9.9499
E0080,cannot_tell,,,16,1,A,0.3,industrial,1920x1080,25.0,2019_09_02_GOPR5871_1058_solo,0,255,9.9499
E0082,degrades,11,3,16,1,B,1.0,industrial,1920x1080,25.0,2019_09_02_GOPR5871_1058_solo,0,255,9.9499
E0084,cannot_tell,,,3,1,AB,0.3,lake,1920x1080,29.970501184446306,GOPR5847_004,0,399,10.9545
E0086,cannot_tell,,,5,1,A,0.3,lake,1920x1080,29.970501184446306,GOPR5847_004,0,399,10.9545
E0088,cannot_tell,,,5,1,B,0.5,lake,1920x1080,29.970501184446306,GOPR5847_004,0,399,10.9545
E0090,cannot_tell,,,8,1,A,0.3,lake,1920x1080,29.970501184446306,GOPR5847_004,0,399,10.9545
E0092,cannot_tell,,,8,1,B,0.75,lake,1920x1080,29.970501184446306,GOPR5847_004,0,399,10.9545
E0094,cannot_tell,,,16,1,A,0.3,lake,1920x1080,29.970501184446306,GOPR5847_004,0,399,10.9545
E0096,usable,,,16,1,B,1.0,lake,1920x1080,29.970501184446306,GOPR5847_004,0,399,10.9545
E0098,usable,3,,3,1,AB,0.3,lake,1920x1080,29.96979154066368,GOPR5847_003,0,260,27.4955
E0100,usable,5,,5,1,A,0.3,lake,1920x1080,29.96979154066368,GOPR5847_003,0,260,27.4955
E0102,usable,,,5,1,B,0.5,lake,1920x1080,29.96979154066368,GOPR5847_003,0,260,27.4955
E0104,degrades,5,2,8,1,A,0.3,lake,1920x1080,29.96979154066368,GOPR5847_003,0,260,27.4955
E0106,usable,8,,8,1,B,0.75,lake,1920x1080,29.96979154066368,GOPR5847_003,0,260,27.4955
E0108,degrades,7,1,16,1,A,0.3,lake,1920x1080,29.96979154066368,GOPR5847_003,0,260,27.4955
E0110,degrades,11,1,16,1,B,1.0,lake,1920x1080,29.96979154066368,GOPR5847_003,0,260,27.4955
E0112,cannot_tell,,,3,1,AB,0.3,lake,1920x1080,29.970501184446306,GOPR5847_004,0,360,18.8944
E0114,cannot_tell,,,5,1,A,0.3,lake,1920x1080,29.970501184446306,GOPR5847_004,0,360,18.8944
E0116,cannot_tell,,,5,1,B,0.5,lake,1920x1080,29.970501184446306,GOPR5847_004,0,360,18.8944
E0118,usable,,,8,1,A,0.3,lake,1920x1080,29.970501184446306,GOPR5847_004,0,360,18.8944
E0120,cannot_tell,,,8,1,B,0.75,lake,1920x1080,29.970501184446306,GOPR5847_004,0,360,18.8944
E0122,usable,,,16,1,A,0.3,lake,1920x1080,29.970501184446306,GOPR5847_004,0,360,18.8944
E0124,usable,16,,16,1,B,1.0,lake,1920x1080,29.970501184446306,GOPR5847_004,0,360,18.8944
E0126,usable,3,,3,1,AB,0.3,meadow,1920x1080,29.970632584188987,GOPR5843_005,0,43,29.4618
E0128,usable,5,,5,1,A,0.3,meadow,1920x1080,29.970632584188987,GOPR5843_005,0,43,29.4618
E0130,usable,5,,5,1,B,0.5,meadow,1920x1080,29.970632584188987,GOPR5843_005,0,43,29.4618
E0132,usable,8,,8,1,A,0.3,meadow,1920x1080,29.970632584188987,GOPR5843_005,0,43,29.4618
E0134,usable,8,,8,1,B,0.75,meadow,1920x1080,29.970632584188987,GOPR5843_005,0,43,29.4618
E0136,degrades,8,4,16,1,A,0.3,meadow,1920x1080,29.970632584188987,GOPR5843_005,0,43,29.4618
E0138,usable,16,,16,1,B,1.0,meadow,1920x1080,29.970632584188987,GOPR5843_005,0,43,29.4618
E0140,usable,3,,3,1,AB,0.3,meadow,1920x1080,29.970846696436336,GOPR5845_004,0,247,20.4939
E0142,usable,,,5,1,A,0.3,meadow,1920x1080,29.970846696436336,GOPR5845_004,0,247,20.4939
E0144,usable,5,,5,1,B,0.5,meadow,1920x1080,29.970846696436336,GOPR5845_004,0,247,20.4939
E0146,usable,8,,8,1,A,0.3,meadow,1920x1080,29.970846696436336,GOPR5845_004,0,247,20.4939
E0148,usable,,,8,1,B,0.75,meadow,1920x1080,29.970846696436336,GOPR5845_004,0,247,20.4939
E0150,usable,16,,16,1,A,0.3,meadow,1920x1080,29.970846696436336,GOPR5845_004,0,247,20.4939
E0152,usable,16,,16,1,B,1.0,meadow,1920x1080,29.970846696436336,GOPR5845_004,0,247,20.4939
E0154,usable,3,,3,1,AB,0.3,meadow,1920x1080,29.97060105689109,GOPR5845_001,0,419,19.8997
E0156,usable,5,,5,1,A,0.3,meadow,1920x1080,29.97060105689109,GOPR5845_001,0,419,19.8997
E0158,usable,,,5,1,B,0.5,meadow,1920x1080,29.97060105689109,GOPR5845_001,0,419,19.8997
E0160,usable,8,,8,1,A,0.3,meadow,1920x1080,29.97060105689109,GOPR5845_001,0,419,19.8997
E0162,usable,,,8,1,B,0.75,meadow,1920x1080,29.97060105689109,GOPR5845_001,0,419,19.8997
E0164,degrades,7,1,16,1,A,0.3,meadow,1920x1080,29.97060105689109,GOPR5845_001,0,419,19.8997
E0166,degrades,2,1,16,1,B,1.0,meadow,1920x1080,29.97060105689109,GOPR5845_001,0,419,19.8997
E0168,usable,3,,3,1,AB,0.3,seaside,1920x1080,29.97002997002997,00_06_10_to_00_06_27,4,397,21.5407
E0170,usable,5,,5,1,A,0.3,seaside,1920x1080,29.97002997002997,00_06_10_to_00_06_27,4,397,21.5407
E0172,usable,5,,5,1,B,0.5,seaside,1920x1080,29.97002997002997,00_06_10_to_00_06_27,4,397,21.5407
E0174,usable,8,,8,1,A,0.3,seaside,1920x1080,29.97002997002997,00_06_10_to_00_06_27,4,397,21.5407
E0176,usable,,,8,1,B,0.75,seaside,1920x1080,29.97002997002997,00_06_10_to_00_06_27,4,397,21.5407
E0178,usable,16,,16,1,A,0.3,seaside,1920x1080,29.97002997002997,00_06_10_to_00_06_27,4,397,21.5407
E0180,usable,16,,16,1,B,1.0,seaside,1920x1080,29.97002997002997,00_06_10_to_00_06_27,4,397,21.5407
