T,padding_fraction,associated,window_frames,fully_inside,fully_inside_frac,centre_inside,centre_inside_frac
3,0.0,False,63024,27775,0.440705,61306,0.972741
3,0.0,True,8352,4328,0.518199,8348,0.999521
3,0.1,False,63024,43108,0.683993,61917,0.982435
3,0.1,True,8352,6178,0.739703,8352,1.0
3,0.2,False,63024,51506,0.817244,62329,0.988972
3,0.2,True,8352,7321,0.876557,8352,1.0
3,0.3,False,63024,56690,0.899499,62576,0.992892
3,0.3,True,8352,7940,0.95067,8352,1.0
3,0.5,False,63024,61337,0.973232,62973,0.999191
3,0.5,True,8352,8346,0.999282,8352,1.0
3,0.75,False,63024,62532,0.992193,63019,0.999921
3,0.75,True,8352,8352,1.0,8352,1.0
3,1.0,False,63024,62977,0.999254,63022,0.999968
3,1.0,True,8352,8352,1.0,8352,1.0
5,0.0,False,104680,31443,0.300373,94382,0.901624
5,0.0,True,13840,5241,0.378685,13158,0.950723
5,0.1,False,104680,57405,0.548386,97266,0.929175
5,0.1,True,13840,8401,0.607009,13435,0.970737
5,0.2,False,104680,73343,0.70064,99428,0.949828
5,0.2,True,13840,10588,0.765029,13593,0.982153
5,0.3,False,104680,82765,0.790648,100882,0.963718
5,0.3,True,13840,11885,0.858743,13767,0.994725
5,0.5,False,104680,94564,0.903363,102917,0.983158
5,0.5,True,13840,13171,0.951662,13839,0.999928
5,0.75,False,104680,100351,0.958645,103738,0.991001
5,0.75,True,13840,13689,0.98909,13840,1.0
5,1.0,False,104680,102977,0.983731,104178,0.995204
5,1.0,True,13840,13839,0.999928,13840,1.0
8,0.0,False,166648,34898,0.209411,132339,0.794123
8,0.0,True,21952,6096,0.277697,18797,0.856277
8,0.1,False,166648,71446,0.428724,138520,0.831213
8,0.1,True,21952,10778,0.49098,19553,0.890716
8,0.2,False,166648,97074,0.582509,144211,0.865363
8,0.2,True,21952,14147,0.644452,20190,0.919734
8,0.3,False,166648,112662,0.676048,148593,0.891658
8,0.3,True,21952,16330,0.743896,20734,0.944515
8,0.5,False,166648,133473,0.800928,155736,0.934521
8,0.5,True,21952,18969,0.864113,21338,0.97203
8,0.75,False,166648,147119,0.882813,159803,0.958925
8,0.75,True,21952,20535,0.93545,21733,0.990024
8,1.0,False,166648,156060,0.936465,162473,0.974947
8,1.0,True,21952,21373,0.973624,21879,0.996675
16,0.0,False,328816,40019,0.121706,201949,0.61417
16,0.0,True,42880,7465,0.17409,29234,0.681763
16,0.1,False,328816,92499,0.281309,216048,0.657048
16,0.1,True,42880,14728,0.34347,31103,0.72535
16,0.2,False,328816,136343,0.414648,229327,0.697433
16,0.2,True,42880,20355,0.474697,32801,0.764949
16,0.3,False,328816,164867,0.501396,240549,0.731561
16,0.3,True,42880,24113,0.562337,34350,0.801073
16,0.5,False,328816,207094,0.629817,260624,0.792613
16,0.5,True,42880,29760,0.69403,36703,0.855947
16,0.75,False,328816,238578,0.725567,276995,0.842401
16,0.75,True,42880,33942,0.791558,38633,0.900956
16,1.0,False,328816,262923,0.799605,290375,0.883093
16,1.0,True,42880,36965,0.862057,40143,0.936171
