# Item E scoring sheet. One row per strip, presented in randomised order.
# score: one of  usable / degrades / not_usable / cannot_tell
#   usable      target identifiable in every frame
#   degrades    identifiable at the centre frame, lost, clipped or unrecognisable in at least one other
#   not_usable  not identifiable even at the centre frame
#   cannot_tell too few pixels or too ambiguous to judge
# usable_frames: how many of the strip's frames show an identifiable drone. Required for 'degrades', optional otherwise (usable = all, not_usable = 0).
#   Carries the severity gradient the four-way score cannot: losing 1 frame of 16 and losing 7 of 16 are both 'degrades' but are not the same result.
# note: optional free text. Use it to say WHERE the failures fell if they were scattered rather than at the ends of the window.
sheet_row,strip_id,score,usable_frames,note
1,E0118,,,
2,E0058,,,
3,E0162,,,
4,E0036,,,
5,E0158,,,
6,E0122,,,
7,E0096,,,
8,E0088,,,
9,E0200,,,
10,E0056,,,
11,E9009,,,
12,E0176,,,
13,E0184,,,
14,E0148,,,
15,E0142,,,
16,E9006,,,
17,E0102,,,
18,E0050,,,
19,E0044,,,
20,E0136,,,
21,E0086,,,
22,E0010,,,
23,E0082,,,
24,E0000,,,
25,E0170,,,
26,E0116,,,
27,E0208,,,
28,E0204,,,
29,E0160,,,
30,E9005,,,
31,E0064,,,
32,E0166,,,
33,E0110,,,
34,E0188,,,
35,E0104,,,
36,E0202,,,
37,E0068,,,
38,E0196,,,
39,E0004,,,
40,E0094,,,
41,E0018,,,
42,E0012,,,
43,E0006,,,
44,E0198,,,
45,E0194,,,
46,E9008,,,
47,E0174,,,
48,E0028,,,
49,E0128,,,
50,E0164,,,
51,E0034,,,
52,E0092,,,
53,E0002,,,
54,E9001,,,
55,E0024,,,
56,E0108,,,
57,E0042,,,
58,E0186,,,
59,E9002,,,
60,E0062,,,
61,E0014,,,
62,E0078,,,
63,E0040,,,
64,E0190,,,
65,E0090,,,
66,E0126,,,
67,E0114,,,
68,E0144,,,
69,E0106,,,
70,E0054,,,
71,E0182,,,
72,E0132,,,
73,E0070,,,
74,E0134,,,
75,E0100,,,
76,E0206,,,
77,E0020,,,
78,E0172,,,
79,E0038,,,
80,E0032,,,
81,E0192,,,
82,E0016,,,
83,E0120,,,
84,E0066,,,
85,E0168,,,
86,E0156,,,
87,E0008,,,
88,E0178,,,
89,E0048,,,
90,E0046,,,
91,E9003,,,
92,E0060,,,
93,E0146,,,
94,E0080,,,
95,E0098,,,
96,E0152,,,
97,E0022,,,
98,E0112,,,
99,E0072,,,
100,E0150,,,
101,E9000,,,
102,E0154,,,
103,E0052,,,
104,E0138,,,
105,E0084,,,
106,E9004,,,
107,E0030,,,
108,E0180,,,
109,E0074,,,
110,E0140,,,
111,E0076,,,
112,E0026,,,
113,E0124,,,
114,E0130,,,
115,E9007,,,
