sheet_row,strip_id,score,usable_frames,note
1,E0118,usable,,
2,E0058,usable,,
3,E0162,usable,,
4,E0036,usable,,
5,E0158,usable,,
6,E0122,usable,,
7,E0096,usable,,
8,E0088,cannot_tell,,
9,E0200,usable,,
10,E0056,usable,,
11,E9009,degrades,7,6
12,E0176,usable,,
13,E0184,usable,,
14,E0148,usable,,
15,E0142,usable,,
16,E9006,cannot_tell,,
17,E0102,usable,,
18,E0050,usable,,
19,E0044,usable,,
20,E0136,degrades,8,4
21,E0086,cannot_tell,,
22,E0010,degrades,9,5
23,E0082,degrades,11,3
24,E0000,usable,3,
25,E0170,usable,5,
26,E0116,cannot_tell,,
27,E0208,usable,16,
28,E0204,usable,8,
29,E0160,usable,8,
30,E9005,usable,16,
31,E0064,usable,8,
32,E0166,degrades,2,1
33,E0110,degrades,11,1
34,E0188,usable,8,
35,E0104,degrades,5,2
36,E0202,usable,8,
37,E0068,degrades,13,1
38,E0196,usable,3,
39,E0004,usable,5,
40,E0094,cannot_tell,,
41,E0018,usable,5,
42,E0012,degrades,15,2
43,E0006,usable,8,
44,E0198,usable,5,
45,E0194,usable,16,
46,E9008,usable,8,
47,E0174,usable,8,
48,E0028,usable,3,
49,E0128,usable,5,
50,E0164,degrades,7,1
51,E0034,degrades,7,1
52,E0092,cannot_tell,,
53,E0002,usable,5,
54,E9001,usable,3,
55,E0024,degrades,9,1
56,E0108,degrades,7,1
57,E0042,usable,3,
58,E0186,usable,5,
59,E9002,usable,5,
60,E0062,usable,8,
61,E0014,usable,3,
62,E0078,cannot_tell,,
63,E0040,degrades,13,1
64,E0190,usable,8,
65,E0090,cannot_tell,,
66,E0126,usable,3,
67,E0114,cannot_tell,,
68,E0144,usable,5,
69,E0106,usable,8,
70,E0054,usable,16,
71,E0182,usable,3,
72,E0132,usable,8,
73,E0070,cannot_tell,,
74,E0134,usable,8,
75,E0100,usable,5,
76,E0206,usable,16,
77,E0020,usable,8,
78,E0172,usable,5,
79,E0038,degrades,08,1
80,E0032,usable,5,
81,E0192,usable,16,
82,E0016,usable,5,
83,E0120,cannot_tell,,
84,E0066,degrades,8,7
85,E0168,usable,3,
86,E0156,usable,5,
87,E0008,usable,8,
88,E0178,usable,16,
89,E0048,usable,8,
90,E0046,usable,5,
91,E9003,usable,8,
92,E0060,usable,5,
93,E0146,usable,8,
94,E0080,cannot_tell,,
95,E0098,usable,3,
96,E0152,usable,16,
97,E0022,usable,8,
98,E0112,cannot_tell,,
99,E0072,cannot_tell,,
100,E0150,usable,16,
101,E9000,usable,5,
102,E0154,usable,3,
103,E0052,usable,16,
104,E0138,usable,16,
105,E0084,cannot_tell,,
106,E9004,usable,8,
107,E0030,usable,5,
108,E0180,usable,16,
109,E0074,cannot_tell,,
110,E0140,usable,3,
111,E0076,cannot_tell,,
112,E0026,degrades,15,1
113,E0124,usable,16,
114,E0130,usable,5,
115,E9007,usable,8,
