sheet_row,strip_id,call,cue,note
1,F0028,background,,
2,F0000,background,,
3,F0024,background,,
4,F0013,drone,appearance,b
5,F0003,drone,,b
6,F9001,drone,,b
7,F0010,drone,,a
8,F0005,background,,
9,F0007,background,,
10,F9000,cannot_tell,,
11,F0022,background,,
12,F0027,cannot_tell,,
13,F0017,drone,,b
14,F0021,cannot_tell,,
15,F0014,drone,,a
16,F0018,background,,
17,F0008,cannot_tell,,
18,F0015,drone,,a
19,F0001,background,,
20,F0025,background,,
21,F0020,background,,
22,F0012,drone,,a
23,F0004,background,,
24,F0019,drone,,a
25,F0029,drone,,a
26,F9002,drone,,a
27,F0023,drone,,a
28,F0002,background,,
29,F0026,background,,
30,F0011,background,,
31,F0016,drone,,a
32,F0009,cannot_tell,,
33,F0006,background,,
