# Stride-2 confirmation pass, T=8. Same scale as item E.
# score: usable / degrades / not_usable / cannot_tell
# usable_frames: length of the run in which the drone is visible. Required for 'degrades'.
# note: the FIRST frame of that run, 1-based.
sheet_row,strip_id,score,usable_frames,note
1,E0149,,,
2,E0063,,,
3,E0021,,,
4,E0009,,,
5,S9002,,,
6,E0203,,,
7,E0191,,,
8,E0163,,,
9,E0051,,,
10,E0065,,,
11,E0105,,,
12,E0135,,,
13,E0023,,,
14,E0007,,,
15,E0107,,,
16,E0093,,,
17,S9001,,,
18,E0079,,,
19,E0077,,,
20,E0121,,,
21,E0205,,,
22,E0189,,,
23,E0049,,,
24,E0091,,,
25,E0175,,,
26,E0035,,,
27,E0147,,,
28,E0133,,,
29,E0037,,,
30,E0177,,,
31,E0161,,,
32,E0119,,,
33,S9000,,,
