sheet_row,strip_id,score,usable_frames,note
1,E0149,usable,8,
2,E0063,degrades,3,1
3,E0021,degrades,4,1
4,E0009,degrades,6,1
5,S9002,usable,8,
6,E0203,usable,8,
7,E0191,usable,8,
8,E0163,degrades,5,1
9,E0051,usable,8,
10,E0065,degrades,5,1
11,E0105,degrades,3,1
12,E0135,degrades,7,7
13,E0023,degrades,6,1
14,E0007,degrades,4,1
15,E0107,degrades,5,1
16,E0093,cannot_tell,,
17,S9001,degrades,6,1
18,E0079,degrades,5,1
19,E0077,degrades,4,1
20,E0121,usable,8,
21,E0205,usable,8,
22,E0189,usable,8,
23,E0049,usable,8,
24,E0091,cannot_tell,,
25,E0175,usable,8,
26,E0035,degrades,4,1
27,E0147,usable,8,
28,E0133,degrades,5,1
29,E0037,degrades,5,1
30,E0177,usable,8,
31,E0161,degrades,3,1
32,E0119,usable,8,
33,S9000,degrades,3,1
