stride2_id,stride1_id,scene,condition,video,centre_frame,score_stride1,score_stride2,usable_frames_stride1,usable_frames_stride2,direction
E0007,E0006,gopro_fisheye,A,gopro_000,272,usable,degrades,8,4,worse
E0009,E0008,gopro_fisheye,B,gopro_000,272,usable,degrades,8,6,worse
E0021,E0020,gopro_fisheye,A,gopro_006,580,usable,degrades,8,4,worse
E0023,E0022,gopro_fisheye,B,gopro_006,580,usable,degrades,8,6,worse
E0035,E0034,gopro_fisheye,A,gopro_005,302,degrades,degrades,7,4,same
E0037,E0036,gopro_fisheye,B,gopro_005,302,usable,degrades,,5,worse
E0049,E0048,industrial,A,2019_11_14_C0001_3922_matrice,1558,usable,usable,8,8,same
E0051,E0050,industrial,B,2019_11_14_C0001_3922_matrice,1558,usable,usable,,8,same
E0063,E0062,industrial,A,2019_09_02_C0002_2527_inspire,98,usable,degrades,8,3,worse
E0065,E0064,industrial,B,2019_09_02_C0002_2527_inspire,98,usable,degrades,8,5,worse
E0077,E0076,industrial,A,2019_09_02_GOPR5871_1058_solo,255,cannot_tell,degrades,,4,better
E0079,E0078,industrial,B,2019_09_02_GOPR5871_1058_solo,255,cannot_tell,degrades,,5,better
E0091,E0090,lake,A,GOPR5847_004,399,cannot_tell,cannot_tell,,,same
E0093,E0092,lake,B,GOPR5847_004,399,cannot_tell,cannot_tell,,,same
E0105,E0104,lake,A,GOPR5847_003,260,degrades,degrades,5,3,same
E0107,E0106,lake,B,GOPR5847_003,260,usable,degrades,8,5,worse
E0119,E0118,lake,A,GOPR5847_004,360,usable,usable,,8,same
E0121,E0120,lake,B,GOPR5847_004,360,cannot_tell,usable,,8,better
E0133,E0132,meadow,A,GOPR5843_005,43,usable,degrades,8,5,worse
E0135,E0134,meadow,B,GOPR5843_005,43,usable,degrades,8,7,worse
E0147,E0146,meadow,A,GOPR5845_004,247,usable,usable,8,8,same
E0149,E0148,meadow,B,GOPR5845_004,247,usable,usable,,8,same
E0161,E0160,meadow,A,GOPR5845_001,419,usable,degrades,8,3,worse
E0163,E0162,meadow,B,GOPR5845_001,419,usable,degrades,,5,worse
E0175,E0174,seaside,A,00_06_10_to_00_06_27,397,usable,usable,8,8,same
E0177,E0176,seaside,B,00_06_10_to_00_06_27,397,usable,usable,,8,same
E0189,E0188,seaside,A,00_09_30_to_00_10_09,874,usable,usable,8,8,same
E0191,E0190,seaside,B,00_09_30_to_00_10_09,874,usable,usable,8,8,same
E0203,E0202,seaside,A,00_02_45_to_00_03_10_cut,111,usable,usable,8,8,same
E0205,E0204,seaside,B,00_02_45_to_00_03_10_cut,111,usable,usable,8,8,same
