container_duration_s,creation_time,cv2_fps,cv2_frame_count,cv2_height,cv2_width,duration_s,ffprobe_avg_frame_rate,ffprobe_duration_s,ffprobe_height,ffprobe_nb_frames,ffprobe_r_frame_rate,ffprobe_width,file_size_bytes,frames,path,video
5.906,,29.97002997002997,177,1080,1920,5.906,29.97002997002997,5.9059,1080,177,29.97002997002997,1920,25131958,177,videos/00_01_52_to_00_01_58.mp4,00_01_52_to_00_01_58
8.0,,50.0,400,1080,1920,8.0,50.0,8.0,1080,,50.0,1920,4564992,400,videos/00_02_45_to_00_03_10_cut.mpg,00_02_45_to_00_03_10_cut
16.65,,29.97002997002997,499,1080,1920,16.65,29.97002997002997,16.649967,1080,499,29.97002997002997,1920,71123316,499,videos/00_06_10_to_00_06_27.mp4,00_06_10_to_00_06_27
38.939,,29.97002997002997,1167,1080,1920,38.939,29.97002997002997,38.9389,1080,1167,29.97002997002997,1920,165580700,1167,videos/00_09_30_to_00_10_09.mp4,00_09_30_to_00_10_09
30.898,,29.97002997002997,926,1080,1920,30.898,29.97002997002997,30.897533,1080,926,29.97002997002997,1920,131464623,926,videos/00_10_09_to_00_10_40.mp4,00_10_09_to_00_10_40
118.04,,25.0,2951,2160,3840,118.04,25.0,118.04,2160,2951,25.0,3840,446208568,2951,videos/2019_08_19_C0001_5319_phantom.mp4,2019_08_19_C0001_5319_phantom
40.0,,25.0,1000,1080,1920,40.0,25.0,40.0,1080,1000,25.0,1920,8232928,1000,videos/2019_08_19_GOPR5869_1530_phantom.mp4,2019_08_19_GOPR5869_1530_phantom
35.04,,25.0,876,1080,1920,35.04,25.0,35.04,1080,876,25.0,1920,7222652,876,videos/2019_08_19_GP015869_1520_inspire.mp4,2019_08_19_GP015869_1520_inspire
20.08,,25.0,502,2160,3840,20.08,25.0,20.08,2160,502,25.0,3840,81409743,502,videos/2019_09_02_C0002_2527_inspire.mp4,2019_09_02_C0002_2527_inspire
37.12,,25.0,928,2160,3840,37.12,25.0,37.12,2160,928,25.0,3840,157047905,928,videos/2019_09_02_C0002_3700_mavic.mp4,2019_09_02_C0002_3700_mavic
29.0,,25.0,725,1080,1920,29.0,25.0,29.0,1080,725,25.0,1920,11223344,725,videos/2019_09_02_GOPR5871_1058_solo.mp4,2019_09_02_GOPR5871_1058_solo
63.04,,25.0,1576,2160,3840,63.04,25.0,63.04,2160,1576,25.0,3840,253723819,1576,videos/2019_10_16_C0003_1700_matrice.mp4,2019_10_16_C0003_1700_matrice
56.52,,25.0,1413,2160,3840,56.52,25.0,56.52,2160,1413,25.0,3840,684116043,1413,videos/2019_10_16_C0003_3633_inspire.MP4,2019_10_16_C0003_3633_inspire
17.04,,25.0,426,2160,3840,17.04,25.0,17.04,2160,426,25.0,3840,189413321,426,videos/2019_10_16_C0003_4613_mavic.mp4,2019_10_16_C0003_4613_mavic
17.04,,25.0,426,2160,3840,17.04,25.0,17.04,2160,426,25.0,3840,118332023,426,videos/2019_10_16_C0003_5043_mavic.mp4,2019_10_16_C0003_5043_mavic
104.04,,25.0,2601,2160,3840,104.04,25.0,104.04,2160,2601,25.0,3840,971360674,2601,videos/2019_11_14_C0001_3922_matrice.mp4,2019_11_14_C0001_3922_matrice
20.421,,29.970608227343433,612,1080,1920,20.42,29.970608227343433,20.420006,1080,612,29.971,1920,51113761,612,videos/GOPR5842_002.mp4,GOPR5842_002
17.551,,29.96980348693303,526,1080,1920,17.551,29.96980348693303,17.550999,1080,526,29.971,1920,44207409,526,videos/GOPR5842_005.mp4,GOPR5842_005
17.051,,29.970648094151535,511,1080,1920,17.05,29.970648094151535,17.050015,1080,511,29.971,1920,43045101,511,videos/GOPR5842_007.mp4,GOPR5842_007
14.149,,29.96887956040846,424,1080,1920,14.148,29.96887956040846,14.14801,1080,424,29.971,1920,35611745,424,videos/GOPR5843_002.mp4,GOPR5843_002
19.052,,29.970632584188987,571,1080,1920,19.052,29.970632584188987,19.051984,1080,571,29.971,1920,47921085,571,videos/GOPR5843_005.mp4,GOPR5843_005
16.583,,29.970457275421573,497,1080,1920,16.583,29.970457275421573,16.582997,1080,497,29.971,1920,41744241,497,videos/GOPR5844_002.mp4,GOPR5844_002
13.914,,29.96985007769486,417,1080,1920,13.914,29.96985007769486,13.913984,1080,417,29.971,1920,34808889,417,videos/GOPR5844_004.mp4,GOPR5844_004
20.053,,29.97060105689109,601,1080,1920,20.053,29.97060105689109,20.052985,1080,601,29.971,1920,50391401,601,videos/GOPR5845_001.mp4,GOPR5845_001
13.047,,29.970846696436336,391,1080,1920,13.046,29.970846696436336,13.046011,1080,391,29.971,1920,32937717,391,videos/GOPR5845_004.mp4,GOPR5845_004
22.889,,29.970737865266486,686,1080,1920,22.889,29.970737865266486,22.888993,1080,686,29.971,1920,57271953,686,videos/GOPR5846_002.mp4,GOPR5846_002
15.016,,29.97000099996667,450,1080,1920,15.015,29.97000099996667,15.015015,1080,450,29.971,1920,37489629,450,videos/GOPR5846_005.mp4,GOPR5846_005
16.55,,29.96979154066368,496,1080,1920,16.55,29.96979154066368,16.549998,1080,496,29.971,1920,41612621,496,videos/GOPR5847_003.mp4,GOPR5847_003
24.057,,29.970501184446306,721,1080,1920,24.057,29.970501184446306,24.056988,1080,721,29.971,1920,60370149,721,videos/GOPR5847_004.mp4,GOPR5847_004
17.051,,29.970648094151535,511,1080,1920,17.05,29.970648094151535,17.050015,1080,511,29.971,1920,42863569,511,videos/GOPR5848_002.mp4,GOPR5848_002
23.056,,29.970522900503756,691,1080,1920,23.056,29.970522900503756,23.055987,1080,691,29.971,1920,57859473,691,videos/GOPR5848_004.mp4,GOPR5848_004
30.74,,50.0,1537,576,720,30.74,50.0,30.74,576,1537,50.0,720,15668792,1537,videos/custom_fixed_wing_1.avi,custom_fixed_wing_1
36.02,,50.0,1801,576,720,36.02,50.0,36.02,576,1801,50.0,720,21283390,1801,videos/custom_fixed_wing_2.avi,custom_fixed_wing_2
60.071429,,14.0,841,1080,1920,60.071,14.0,60.071429,1080,841,14.0,1920,94605168,841,videos/distant_parrot_2.avi,distant_parrot_2
60.071429,,14.0,841,1080,1920,60.071,14.0,60.071429,1080,841,14.0,1920,94649034,841,videos/distant_parrot_with_birds.avi,distant_parrot_with_birds
60.04,,25.0,1501,1080,1920,60.04,25.0,60.04,1080,1501,25.0,1920,64627488,1501,videos/dji_matrice_210_hillside.avi,dji_matrice_210_hillside
60.040161,,24.9,1495,1080,1920,60.04,24.9,60.040161,1080,1495,24.916666666666668,1920,79732322,1495,videos/dji_matrice_210_mountain.avi,dji_matrice_210_mountain
61.04,,25.0,1526,1080,1920,61.04,25.0,61.04,1080,1526,25.0,1920,58049618,1526,videos/dji_matrice_210_off_focus.avi,dji_matrice_210_off_focus
60.04,,25.0,1501,1080,1920,60.04,25.0,60.04,1080,1501,25.0,1920,33786090,1501,videos/dji_matrice_210_sky.avi,dji_matrice_210_sky
60.04,,25.0,1501,1080,1920,60.04,25.0,60.04,1080,1501,25.0,1920,61091620,1501,videos/dji_mavick_close_buildings.avi,dji_mavick_close_buildings
60.04,,25.0,1501,1080,1920,60.04,25.0,60.04,1080,1501,25.0,1920,78688640,1501,videos/dji_mavick_distant_hillside.avi,dji_mavick_distant_hillside
83.0,,25.0,2075,1080,1920,83.0,25.0,83.0,1080,2075,25.0,1920,105389694,2075,videos/dji_mavick_hillside_off_focus.avi,dji_mavick_hillside_off_focus
59.0,,25.0,1475,1080,1920,59.0,25.0,59.0,1080,1475,25.0,1920,87810482,1475,videos/dji_mavick_mountain.avi,dji_mavick_mountain
61.04,,25.0,1526,1080,1920,61.04,25.0,61.04,1080,1526,25.0,1920,55898508,1526,videos/dji_mavick_mountain_cruise.avi,dji_mavick_mountain_cruise
54.82,,50.0,2741,576,720,54.82,50.0,54.82,576,2741,50.0,720,26766038,2741,videos/dji_pantom_landing_custom_fixed_takeoff.avi,dji_pantom_landing_custom_fixed_takeoff
110.0,,25.0,2750,1080,1920,110.0,25.0,110.0,1080,2750,25.0,1920,172924370,2750,videos/dji_phantom_4_hillside_cross.avi,dji_phantom_4_hillside_cross
60.0,,25.0,1500,1080,1920,60.0,25.0,60.0,1080,1500,25.0,1920,63791906,1500,videos/dji_phantom_4_long_takeoff.avi,dji_phantom_4_long_takeoff
60.0,,25.0,1500,1080,1920,60.0,25.0,60.0,1080,1500,25.0,1920,60372026,1500,videos/dji_phantom_4_mountain_hover.avi,dji_phantom_4_mountain_hover
60.02,,50.0,3001,576,720,60.02,50.0,60.02,576,3001,50.0,720,36952714,3001,videos/dji_phantom_4_swarm_noon.avi,dji_phantom_4_swarm_noon
155.72,,25.0,3893,1080,1920,155.72,25.0,155.72,1080,3893,25.0,1920,174659198,3893,videos/dji_phantom_mountain_cross.avi,dji_phantom_mountain_cross
10.009443,,21.18,212,1080,1920,10.009,21.18,10.009443,1080,212,21.166666666666668,1920,7651708,212,videos/fixed_wing_over_hill_1.avi,fixed_wing_over_hill_1
15.627951,,21.18,331,1080,1920,15.628,21.18,15.627951,1080,331,21.166666666666668,1920,11742490,331,videos/fixed_wing_over_hill_2.avi,fixed_wing_over_hill_2
19.24,,25.0,481,1080,1920,19.24,25.0,19.24,1080,481,25.0,1920,48488293,481,videos/gopro_000.mp4,gopro_000
19.24,,25.0,481,1080,1920,19.24,25.0,19.24,1080,481,25.0,1920,48430909,481,videos/gopro_001.mp4,gopro_001
10.644,,29.969966552877487,319,1080,1920,10.644,29.969966552877487,10.643989,1080,319,29.971,1920,26792041,319,videos/gopro_002.mp4,gopro_002
18.519,,29.970837995470294,555,1080,1920,18.518,29.970837995470294,18.518001,1080,555,29.971,1920,46262601,555,videos/gopro_003.mp4,gopro_003
25.058,,29.97048120338796,751,1080,1920,25.058,29.97048120338796,25.057989,1080,751,29.971,1920,62835805,751,videos/gopro_004.mp4,gopro_004
27.06,,29.970445676097235,811,1080,1920,27.06,29.970445676097235,27.059991,1080,811,29.971,1920,67896881,811,videos/gopro_005.mp4,gopro_005
45.078,,29.970933447224024,1351,1080,1920,45.077,29.970933447224024,45.077008,1080,1351,29.971,1920,113258193,1351,videos/gopro_006.mp4,gopro_006
116.147,,29.970896681769556,3481,1080,1920,116.146,29.970896681769556,116.146008,1080,3481,29.971,1920,290427505,3481,videos/gopro_007.mp4,gopro_007
33.066,,29.970364906495423,991,1080,1920,33.066,29.970364906495423,33.065997,1080,991,29.971,1920,82956773,991,videos/gopro_008.mp4,gopro_008
60.02,,50.0,3001,576,720,60.02,50.0,60.02,576,3001,50.0,720,37189378,3001,videos/matrice_600_2.avi,matrice_600_2
60.02,,50.0,3001,576,720,60.02,50.0,60.02,576,3001,50.0,720,37952464,3001,videos/matrice_600_3.avi,matrice_600_3
61.0,,14.0,854,1080,1920,61.0,14.0,61.0,1080,854,14.0,1920,96189716,854,videos/off_focus_parrot_birds.avi,off_focus_parrot_birds
60.0,,14.0,840,1080,1920,60.0,14.0,60.0,1080,840,14.0,1920,94606262,840,videos/parot_disco_takeoff.avi,parot_disco_takeoff
60.071429,,14.0,841,1080,1920,60.071,14.0,60.071429,1080,841,14.0,1920,94536360,841,videos/parrot_clear_birds.avi,parrot_clear_birds
60.071429,,14.0,841,1080,1920,60.071,14.0,60.071429,1080,841,14.0,1920,94641672,841,videos/parrot_clear_birds_med_range.avi,parrot_clear_birds_med_range
60.02,,50.0,3001,576,720,60.02,50.0,60.02,576,3001,50.0,720,37119872,3001,videos/parrot_disco_distant_cross.avi,parrot_disco_distant_cross
60.02,,50.0,3001,576,720,60.02,50.0,60.02,576,3001,50.0,720,37050430,3001,videos/parrot_disco_distant_cross_3.avi,parrot_disco_distant_cross_3
329.429,,14.0,4612,1080,1920,329.429,14.0,329.428571,1080,4612,14.0,1920,564708167,4612,videos/parrot_disco_long_session.mp4,parrot_disco_long_session
60.02,,50.0,3001,576,720,60.02,50.0,60.02,576,3001,50.0,720,36248630,3001,videos/parrot_disco_midrange_cross.avi,parrot_disco_midrange_cross
60.071429,,14.0,841,1080,1920,60.071,14.0,60.071429,1080,841,14.0,1920,94516578,841,videos/parrot_disco_zoomin_zoomout.avi,parrot_disco_zoomin_zoomout
78.02,,50.0,3901,576,720,78.02,50.0,78.02,576,3901,50.0,720,51068756,3901,videos/swarm_dji_phantom.avi,swarm_dji_phantom
60.02,,50.0,3001,576,720,60.02,50.0,60.02,576,3001,50.0,720,37889670,3001,videos/swarm_dji_phantom4_2.avi,swarm_dji_phantom4_2
59.167347,,30.0,1771,720,1280,59.033,30.0,59.033333,720,1771,30.0,1280,10684326,1771,videos/two_distant_phantom.avi,two_distant_phantom
70.02,,50.0,3501,576,720,70.02,50.0,70.02,576,3501,50.0,720,44113102,3501,videos/two_parrot_disco_1.avi,two_parrot_disco_1
60.0,,25.0,1500,1080,1920,60.0,25.0,60.0,1080,1500,25.0,1920,17161670,1500,videos/two_uavs_plus_airplane.avi,two_uavs_plus_airplane
