video,scene,zero_drone_frames,windows_of_T,sampled_backgrounds
00_01_52_to_00_01_58,seaside,53,39,1
00_02_45_to_00_03_10_cut,seaside,1,0,0
00_06_10_to_00_06_27,seaside,272,254,2
00_09_30_to_00_10_09,seaside,80,64,1
00_10_09_to_00_10_40,seaside,31,24,0
2019_09_02_C0002_2527_inspire,industrial,16,9,0
2019_09_02_C0002_3700_mavic,industrial,83,75,1
2019_10_16_C0003_1700_matrice,industrial,278,257,2
2019_11_14_C0001_3922_matrice,industrial,77,70,2
GOPR5843_002,meadow,31,24,0
GOPR5843_005,meadow,47,32,1
GOPR5844_002,meadow,51,44,0
GOPR5844_004,meadow,13,6,0
GOPR5845_001,meadow,61,47,0
GOPR5845_004,meadow,39,25,0
GOPR5846_002,meadow,57,43,0
GOPR5846_005,meadow,71,57,1
GOPR5847_003,lake,40,26,1
GOPR5847_004,lake,23,16,1
GOPR5848_002,meadow,10,3,0
GOPR5848_004,meadow,47,40,0
gopro_000,gopro_fisheye,1,0,0
gopro_001,gopro_fisheye,1,0,0
gopro_002,gopro_fisheye,1,0,0
gopro_003,gopro_fisheye,1,0,0
gopro_005,gopro_fisheye,1,0,0
gopro_006,gopro_fisheye,425,417,2
gopro_007,gopro_fisheye,1,0,0
gopro_008,gopro_fisheye,1,0,0
