video,split,scene,zero_drone_frames,annotated_frames,needs_association
00_01_52_to_00_01_58,train,seaside,53,122,False
00_02_45_to_00_03_10_cut,train,seaside,1,399,False
00_06_10_to_00_06_27,train,seaside,272,227,False
00_09_30_to_00_10_09,train,seaside,80,1085,False
00_10_09_to_00_10_40,train,seaside,31,894,False
2019_09_02_C0002_2527_inspire,train,industrial,16,486,False
2019_09_02_C0002_3700_mavic,train,industrial,83,845,False
2019_09_02_GOPR5871_1058_solo,train,industrial,0,725,True
2019_10_16_C0003_1700_matrice,train,industrial,278,1298,False
GOPR5844_002,train,meadow,51,446,False
GOPR5844_004,train,meadow,13,404,False
GOPR5845_001,train,meadow,61,540,False
GOPR5845_004,train,meadow,39,352,False
GOPR5847_003,train,lake,40,456,False
GOPR5847_004,train,lake,23,698,False
GOPR5848_002,train,meadow,10,501,False
GOPR5848_004,train,meadow,47,644,False
gopro_000,train,gopro_fisheye,1,480,True
gopro_001,train,gopro_fisheye,1,480,True
gopro_002,train,gopro_fisheye,1,318,True
gopro_003,train,gopro_fisheye,1,554,False
gopro_006,train,gopro_fisheye,425,926,False
gopro_007,train,gopro_fisheye,1,3480,False
gopro_008,train,gopro_fisheye,1,990,False
2019_11_14_C0001_3922_matrice,val,industrial,77,2524,False
GOPR5843_002,val,meadow,31,393,False
GOPR5843_005,val,meadow,47,524,False
GOPR5846_002,val,meadow,57,629,False
GOPR5846_005,val,meadow,71,379,False
gopro_005,val,gopro_fisheye,1,810,False
